id,title,mode,stadium,fee,dh,entrants,ratings_cap,card_year,sim_runs,error
529,Daily Live Open 2010,Bo5 Finals Bo7,2025 Standard Stadium,Free,Yes,128,40 - 100,,43,
530,Daily Gold Slots 2010,Bo7,2025 Standard Stadium,Free,Yes,64,40 - 89,,39,
532,Daily Live Diamond 2010,Bo5,2026 Yankee Stadium,Free,Yes,64,40 - 99,,38,
565,Daily Diamond Cap 1998,Bo7,1993 Joe Robbie Stadium,Free,No,32,40 - 99,,34,
553,PD Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 105,,31,
636,Daily Diamond Heart 1958,Bo7,1955 Fenway Park,Free,No,128,40 - 99,1930 - 1989,30,
778,Daily Negro Leagues 1944,Bo7,1941 Penmar Park,Free,No,64,,,26,
776,Daily Diamond & Friends Slots 2010,Bo7,2023 Heinsohn Ballpark,Free,No,64,,,25,
568,Daily Open Low Cap 2010,Bo5 Finals Bo7,2026 PNC Park,Free,Yes,64,,,20,
777,Daily Time Travelers Slots 1919,Bo7,1919 Fenway Park,Free,Yes,64,,,17,
539,Tuesday Sporer's Sandlot 1993,Bo7,1928 Mack Park,Free,Yes,128,60 - 89,,16,
522,Daily Early Silver 2010,Bo7,2025 Standard Stadium,Free,Yes,64,40 - 79,,15,
570,Friday Danksville 2010,Bo7,2026 Progressive Field,Free,Yes,256,40 - 49,,14,
548,Monday Gold Floor Cap 2010,Bo7,2025 Standard Stadium,Free,Yes,128,80 - 105,,14,
538,Sunday High Iron Floor and Gold Ceiling 2010,Bo7,2025 Standard Stadium,Free,Yes,128,50 - 89,,14,
536,Monday Up And At Them Bronze 1995,Bo7,2026 Rio Grande Credit Union Field at Isotopes Park,Free,Yes,256,40 - 69,,14,
534,Saturday Iron Warriors 1987,Bo7,1952 Yankee Stadium,Free,Yes,256,40 - 59,,14,
566,Daily Live Silver 2010,Bo7,2026 Citi Field,Free,Yes,64,40 - 79,,13,
585,Daily Silver Slamboree 2010,Bo7,2023 Kauffman Stadium,Free,Yes,64,40 - 79,,13,
531,Daily Diamond Slots 1975,Bo5 Finals Bo7,1977 Atlanta Fulton County Stadium,Free,Yes,64,40 - 99,,13,
735,Dr. Dynastic's Doc Rock Derby 2019,Bo7,1994 Mile High Stadium,Free,Yes,64,40 - 105,,12,
857,Daily Just Order Pizza PD 2010,Bo7,1911 Washington Park,Free,Yes,,,,10,
542,Wednesday Ice to See You 2010,Bo7,2026 NBT Bank Stadium,Free,Yes,128,40 - 99,,10,
523,Daily Late Silver 1929,Bo7,1912 Robison Field,Free,No,64,40 - 79,,9,
578,EF H2H Bronze 2010,Bo7,2025 Standard Stadium,Free,Yes,2,40 - 69,,8,
537,Thursday Silver Spectacular 2010,Bo7,2025 Standard Stadium,Free,Yes,256,40 - 79,,8,
541,Saturday Diamond Variety 1975,Bo7,1981 Metropolitan Stadium,Free,No,128,40 - 99,,8,
569,Friday Nightmare Cap 1955,Bo7,1936 Hinchliffe Stadium,Free,No,128,50 - 74,,8,
540,Thursday Night Gold Rush 1989,Bo7,1979 Candlestick Park,Free,Yes,128,40 - 89,,7,
549,Tuesday Up To 1969 1968,Bo7,1968 Busch Stadium,Free,No,128,,,7,
547,Sunday Open Main Event 2010,Bo7,2026 Dodger Stadium,Free,Yes,256,,,6,
746,Thursday CWhit's Cap Challenge 2023,Bo7,1936 Hinchliffe Stadium,Free,No,128,,1800 - 1939,5,
567,Daily Goldfather II 2010,Bo7,2025 Standard Stadium,Free,Yes,64,40 - 89,,5,
535,Saturday Bronze Cap 2010,Bo7,2025 Standard Stadium,Free,Yes,128,40 - 69,,5,
545,Tuesday Live 2010,Bo7,2026 Oracle Park,Free,Yes,256,40 - 100,,5,
559,Daily Silver Cap 1998,Bo5 Finals Bo7,2025 Standard Stadium,Free,Yes,32,40 - 79,,5,
779,Saturday Negro Leagues Slots 1948,Bo7,1930 Hamtramck Stadium,Free,No,128,,,5,
564,Daily Diamond 2010,Bo7,2025 Standard Stadium,Free,Yes,64,40 - 99,,4,
516,Daily Late Iron 2010,Bo7,2026 Chase Field,Free,No,64,40 - 59,,4,
543,Friday Night Live Slots 2010,Bo7,2026 Daikin Park,Free,Yes,128,40 - 105,,4,
906,Low Iron Quick 2010,Bo5,Standard Stadium,Free,Yes,,,,4,
587,Daily Diamonds are Forever 1987,Bo5 Finals Bo7,1985 Wrigley Field,Free,Yes,64,40 - 99,,4,
632,PTCS 2 Iron Replay. 1969,Bo7,1964 Shea Stadium,Free,No,64,40 - 59,,4,
544,Monday Wonky Historical Slots 1945,Bo7,2025 Tropicana Field,Free,Yes,128,40 - 89,1980 - 2025,4,
546,Sunday Open Slots 2010,Bo7,2025 Standard Stadium,Free,Yes,128,,,3,
515,Daily Dank Iron 1945,Bo7,1945 Comisky Park,Free,No,64,40 - 49,,3,
551,Wednesday Night of the Living Deadball 1919,Bo7,1871 Union Grounds (Brooklyn),Free,No,128,,,3,
550,Wednesday 1950 to Now 2010,Bo7,1979 Three Rivers Stadium,Free,Yes,128,,1950 - 2026,2,
560,Daily Open Slots 2000,Bo7,2025 Standard Stadium,Free,Yes,64,,,2,
517,Daily Iron Cap 2010,Bo5 Finals Bo7,2025 Standard Stadium,Free,Yes,32,40 - 59,,1,
526,Daily PTCS 4 Cap Replay 2010,Bo7,1995 Coors Field,Free,Yes,32,40 - 105,,1,
533,Daily Wide Open 2010,Bo7,2023 Fenway Park,Free,Yes,64,40 - 105,,1,
574,EF 4T Gold 2010,Bo7,2025 Standard Stadium,Free,Yes,4,40 - 89,,1,
509,Live Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 100,,1,
556,Daily Iron Strikes Back 1987,Bo7,1990 Anaheim Stadium,Free,No,64,40 - 59,,1,
637,Daily Open 1930-89 1987,Bo7,1986 Three Rivers Stadium,Free,Yes,64,40 - 105,1930 - 1989,1,
905,Quick Dank 2025,,,,,,,,0,
877,Cwhit4 2023,,,,,,,,0,
878,Cwhit 4.2 2023,,,,,,,,0,
520,Daily Bronze Only Cap 2019,,,,,,,,0,
527,Daily Bronze Only Curiosities 2010,,,,,,,,0,
524,Daily Late Bronze 2010,Bo5,2003 Dodger Stadium,Free,Yes,64,40 - 69,,0,
561,Daily Live Bronze 2010,Bo7,2026 Kauffman Stadium,Free,Yes,64,40 - 69,,0,
518,Daily Live Iron 2010,,,,,,,,0,
558,Daily Low Diamond 2010,,,,,,,,0,
572,EF 4T Bronze 2010,,,,,,,,0,
575,EF 4T Diamond 2010,,,,,,,,0,
571,EF 4T Iron 2010,,,,,,,,0,
576,EF 4T Open 2010,,,,,,,,0,
573,EF 4T Silver 2010,,,,,,,,0,
581,EF H2H Diamond 2010,,,,,,,,0,
577,EF H2H Iron 2010,,,,,,,,0,
582,EF H2H Open 2010,,,,,,,,0,
579,EF H2H Silver 2010,,,,,,,,0,
514,Live Slot Quick 2010,,,,,,,,0,
512,Low Diamond Quick 2010,,,,,,,,0,
897,My Custom Tournament 2010,,,,,,,,0,
510,Open Quick 2010,,,,,,,,0,
513,Open Slot Quick 2010,,,,,,,,0,
892,PTMS 2 Tourney 1 2010,,,,,,,,0,
552,Thursday Mishmash Cap 2010,,,,,,,,0,
633,Daily Bronze OOTP Era 2009,Bo7,2023 Heinsohn Ballpark,Free,Yes,128,40 - 69,,0,
773,Daily Bronze PTCS 3 Replay Slots 1999,Bo7,2000 Coors Field,Free,Yes,64,40 - 69,,0,
772,Daily Iron & Friends OOTP Era Slots 1999,,,,,,,,0,
873,Laptop 6L Powerplay,,1984 Olympic Stadium,,,,,,0,timeout
511,Low Gold Quick 1999,,,,,,,,0,
893,PTMS 2 Tourney 2,,1998 Wrigley Field,,,,,,0,timeout
858,Daliy Trying To Look Busy PD 1987,Bo5 Finals Bo7,Standard Stadium,Free,Yes,,,,0,
562,Daily Iron Lunch 1966,,,,,,,,0,
812,low gold,,1961 LA Wrigley Field 1961,,,,,,0,timeout
894,PTMS 2 Tourney 3 1962,,,,,,,,0,
584,Daily Bronze 1910-59 1959,Bo7,1959 Seals Stadium,Free,Yes,64,40 - 69,1910 - 1959,0,
519,Daily Low Bronze Only 1955,Bo5 Finals Bo7,1955 Ebbets Field,Free,No,64,60 - 64,,0,
525,Daily Early Bronze 1942,,,,,,,,0,
583,Daily Iron Dreamland 1907,,,,,,,,0,
