//Rank,User,Team,Points,Played,Combined,Best
114,BlueSamuraiG,Vegas Shrimp Cocktails Hot,60,20,1908,3
115,5lucky,Prague Victory,60,21,1335,2
116,dancoh58,Dayton Aviators,60,25,3148,7
117,SushiMcMochi,Low Diamond Phillips,60,27,2488,5
118,BlueBaldric,Atlantis Ancients,60,27,2958,3
119,Readymade,Hilo Canefires,60,29,3017,1
120,miketx56,Borger Busch Slammers,59,22,2389,3
121,Beckdawg,Charlotte Sundevils - CG,59,32,3062,4
122,dadmetalbod,Mt Etna Hotter Otters - HotL,59,32,3560,3
123,pwtigers,Flyball Sluggers,58,19,1421,8
124,TwanLX2000,Bremen Blues,58,21,1266,3
125,Antfoodz,Roseville Cardinal,58,21,1431,3
126,opaldawg,Greytown Blues,58,23,2427,4
127,CBDOC,SIU Salukis,58,23,2484,15
128,jjack519,Europa Knights,58,25,2740,4
129,jsitko2,Montrose Beach Piping Plovers,58,27,2726,2
130,goblue1996,Selkirk Saints,57,6,258,1
131,ajstipcak,Indiana Ice Miners,57,25,2442,6
132,Bbbbbb123,Rocket City Trash Pandas,57,26,2673,16
133,Jojorabbit21,Football Manager 2012,57,26,2946,2
134,reds750,Why Knots,57,27,2819,6
135,morgme0,Columbus Jobus,57,30,3567,14
136,mv1234,Phoenix Mango Slush - HOTL,57,31,3527,12
137,Kleinman85,Austin Hammerheads,56,19,1433,4
138,trod,Freedom Grabbers - HotL,56,24,2369,13
139,MemeManFlan,Fitchburg Falcons,56,25,4153,1
140,smileyfacejane,Fargo Fielders,55,18,1875,4
141,The_juice,Newport Gull's LE,55,19,1534,3
142,mthebeau,Madison Mashers - CG,55,19,1808,5
143,DOMSHOMIT,Tokyo Blazeguard,54,17,1331,12
144,Karamba88,Krakow God Honour Fatherlan,54,17,1731,1
145,Hensword,Kolnes Eagles,54,18,1631,3
146,okthen,Petawawa Panthers,54,21,1581,9
147,cpm120,Satellite Beach Manatees,54,22,2213,1
148,ilay620,Las Vegas Bat Country,54,23,2134,8
149,mrcollins18,Haverhill Hillies,54,25,2117,6
150,jamesof76,Steam City Rollers,54,27,2626,3
151,BrueskeGoat,Wauconda Black Panthers,53,24,2513,7
152,fotop,Southside Hitmen,53,27,2788,8
153,MadMatt,Durham Los Toros,53,29,3307,4
154,RoJo,Mount Pleasant Mounties,53,31,4039,5
155,bearon1009,East Cleveland Buckeyes,52,8,512,1
156,tommygunz,Orlando Arcias,52,18,1684,4
157,Warhawk2,Havoris Trespassers,52,23,2811,8
158,krparker87,WV Power,52,24,2699,1
159,TeddyO4,Better Off Ted,52,24,3007,2
160,sp1derman,Ft. Lauderdale Bobcats,52,25,3667,5
161,JonnyP,Dry Creek Craw Daddies,52,26,3169,8
162,CurlingPDX,Hooked On Streamer Phonics,52,27,2145,8
163,Orihalcon,Morristown Mimics,52,27,2691,4
164,kelsotho,Freedom Grabbers - HotL,52,32,3280,8
165,corgichickenleg,Whitetop Mountains,51,16,1719,2
166,Kynan360,Gettysburg Gophers - HotL,51,21,2387,4
167,Crazy8,Gandalf's Gryphons,51,23,2412,6
168,last4920,Angus Jackrabbits,51,24,2249,8
169,Lighthouseinthestorm,Moneyball Billybeaneaters,51,24,2847,4
170,JmRoto,. Roto,51,25,2305,3
171,borischarly,Chilliwack Chiefs,51,29,3273,11
172,LGMets6986,Gotham Dark Knights,50,2,6,2
173,flyer48,St. Charles Aces,50,14,2329,1
174,FlaviusFlav,Alma Scots,50,15,2081,1
175,ArtistRanger2,Toronto Terns PCK,50,17,1196,8
176,Tom88,Krakow Hussars,50,31,2692,5
177,reevesa1,Kenmore Busters,49,11,694,3
178,jonobone,California Daulton Varshos,49,14,1257,2
179,lava,Bloody Nines - CG,49,18,2165,2
180,philo2,Arroyo Grande Big Streams,49,23,1982,15
181,HeavyHitta,Redwood City Bonnies,49,24,2061,7
182,codyjwertz,Duluth Deviled Lettuce,49,25,2021,9
183,bongtana,bongtana bongtana,49,26,2667,15
184,hometownmarkup,Waltham River Otters,49,29,3125,7
185,TheGoldenCrow,Star City Arrows,49,29,3522,7
186,dbush2025,Indianapolis Stray Cats,49,30,3222,8
187,gocanes1962,PSL Hurricanes,48,15,1311,3
188,lordcrazy,Kansas City All Juice Team,48,19,1810,8
189,PumpDunkler,Watertown Pump Dunklers,48,21,2603,6
190,moosehaas,Brooklyn Prison Ship Martyrs,48,26,2873,12
191,SamMan7,Boston Ramblers,48,29,3217,6
192,boofbosner,Atlantic City Bacharach Giants TTC,47,7,506,1
193,Drezik,Detroit Beisbolcats,47,16,2080,2
194,Boogyman10,Columbus Sudowoodos,47,17,1858,10
195,Clydesdale,Groton Gales,47,28,3328,3
196,pray_for_pray,Guro Gunslingers,47,32,3130,5
197,courage,Courage Dogs,46,4,184,1
198,igobyron,Bethlehem Steelpugs,46,8,532,1
199,Mohillian,Morgan Hill Vaqueros - TBD,46,13,1578,1
200,Dal8847,Grand Rapids Warriors,46,17,2090,3
201,nutbunnies,New Haven Ravens,46,19,2030,2
202,tommcaudillo,The Black Freighter TBD,46,21,2526,9
203,kenr48,To Hit or Not to Hit TTC,46,22,2466,3
204,clayhoadley,Watertown Sword Guys TBD,46,30,3675,10
205,nex3,Nexville Canadiens,45,12,1337,2
206,Wild_Stallions,PNW Wild Stallions,45,18,2003,4
207,PaperBagwell,Palm Beach Gonifs,45,18,2295,5
208,sean11g,Orlando Dreams,45,21,3239,6
209,CaseyP,Henerville Hippos,45,24,2438,7
210,Totaro,Kotonoha Akanetics,45,24,3235,2
211,thaines,Jamestown Highlanders,45,31,3482,8
212,BLKush,Kushville Knights,44,14,1635,2
213,robadge,Dover Dandies,44,21,2057,3
214,JuicePackOnly,Beloit Buccaneers PCK ONLY,44,21,2988,7
215,revdbone,Calgary Cannons,44,27,2748,4
216,9dime,Attleboro Norsemen,43,9,593,6
217,netherwarden,Moria Miners,43,10,762,3
218,robertbinsd,CV Gatos,43,13,1074,6
219,mandt,Madison Moundsmen - CG,43,20,2030,3
220,Ripper44,Cayuga River Kings,43,21,2303,11
221,KC_Royal_Red,Kansas City Smoke,43,22,3004,4
222,kinz8908,Loxicha Guerreros,43,26,2465,7
223,ssanger1974,Southside Hitmen - HOTL,43,28,2775,11
224,Rathier,Wasteland Outlaws,43,32,3825,5
225,MetaDurden,Third Earth Thundercats - HOTL,43,33,4181,14
226,janks,Midway Defenders PCK,42,6,631,2
227,aparker51,Maine Giraffes,42,8,620,1
228,Lukin,Federal Way Paladins,42,10,637,5
229,ErieLive,Montreal Expos TTC,42,17,950,7
230,Bandrezik,CLARKSTON WOLVES,42,18,1673,4
231,sirstrak1,Filipino Fighters,42,20,1860,3
232,bobhill32,Lakenheath Mud Puppies,42,22,1865,10
233,Icdragon13,Cleveland Fossils,42,22,2187,6
234,JFP,Monroe Braves,42,22,2798,9
235,fightinvegans,Ungentlemanly Fightin' Fellows TTC,42,27,3051,15
236,PTL0,Boise Potato Mashers,42,27,3354,10
237,lightmoon,Spite Store Hoot Owls,42,28,2893,14
238,RalphKraft,Topeka SOX,42,31,3643,5
239,zpronouncedzed,Hardware City Rock Cats,41,2,53,1
240,sontagbj,Elder Panthers,41,21,2337,12
241,DarkChaosGaming,Tulsa Goldies,41,25,2587,28
242,Dr_Chaps,Totskoye Nuclear Bears,41,25,2710,6
243,colleges,College Redshirts,40,4,163,2
244,10end,Oranje Apple Sox,40,7,620,1
245,motyatucker,Ithaca Isotopes,40,21,2054,6
246,sean11k,Las Vegas Gamblers,40,21,3424,4
247,Strifeknot,Wokingham Night Shift,40,25,2382,9
248,apkaufman,Cleveland Fighting Walleye,40,25,3055,3
249,grenoble72,La Guaira Tiburones,40,27,3705,5
250,tommyhoogy,Puget Sound Giant Pacific Octopi,39,10,1212,2
251,kris024,Trenton Eclipse,39,14,1515,3
252,Nightpain,Ethiopia Pink Elephants,39,15,1765,3
253,Nsigg15,Madison Mallards,39,19,2281,4
254,cstream2,Chicago Seals,39,22,3020,3
255,gckritzer,Town of Lake Loons,39,24,3123,6
256,NZBreaks,Careless Whispers Whispers,39,25,3173,12
257,DA186,Clarkston Cougars,39,28,2690,16
258,soop4m4n,LISBON SOOP4 TEAM,39,30,3939,10
259,PLR2112,Moria Balrogs,39,33,3037,22
260,vthokie2012,West Palm Beach Bingo Stars,38,12,848,4
261,darrylm,Edmonton Prospects,38,13,737,11
262,Bianconeri96,Los Angeles WhiteBlack,38,16,1783,3
263,fubbydude1991,Flint SOL Lions,38,19,2048,10
264,hughhudson1115,Chicago Dino Nuggets,38,21,2133,6
265,bdbk85,Columbus Crimson,38,24,2173,6
266,Cheesetruck25,Adidas Nylon Pants,38,29,3000,10
267,Kyllen,Washington Border Collies,38,32,4092,8
268,dayveeed,South Pacific Swordfish,37,10,907,3
269,qwerty12345,Chester Surge,37,18,1808,14
270,GCSterling,Brocton Velociraptors,37,19,1616,5
271,Vipdad420,Berlin Speed Dealers,37,19,1739,5
272,vivmeep,Tuskvale Mammoths,37,21,2257,13
273,BearMountainX,Bear Mountain Bruins,37,22,2436,6
274,Razorstackz,Razorstackz Razor,37,31,3656,12
275,rwall1988,Bay View Sunsets,36,2,31,2
276,Kalohn,Mirabel ExNats,36,8,636,4
277,theexTIMinator,Humongous Melonheads,36,15,1460,21
278,bksenior2,Mid City Trillionaires,36,16,1362,3
279,Duncaroo,West Hartford Max Oysters - CG,36,19,1800,8
280,amjohnso,La Crosse Lumber Puppies,36,21,2501,12
281,ryan-koziol,Chicago Gamblers - E6,36,24,2425,6
282,ztevans-ft,'Old People Doing Stuff' TTC,36,27,3018,10
283,8thwndr,San Jose Red Raiders,35,9,738,5
284,waittilnextyear,La Crosse Fighting Frogs,35,11,1435,3
285,RoscoBosco,Marengo Mayhem,35,21,2187,7
286,MochiMcSushi,Studs and Duds TTC Studs and Duds TTC,35,26,2494,6
287,batman,TAINAN LION,35,27,3481,9
288,Butta2050,Bellingham Legends,34,5,289,2
289,jlhilljr64,Antonia Arrowheads,34,13,959,6
290,wduchene,Carlsbad Atitudes,34,13,1264,10
291,HuskyDev,Vine Diners,34,13,1553,5
292,crouton1971,Tennessee Tornado Bats,34,18,1698,13
293,Nate1105,Bayou City Yard Dogs,34,18,2117,8
294,wallooner,Madrid River Bears,34,19,1984,10
295,herewegoagain,Middletown MadMen,34,20,1974,7
296,OBEEFE,Kent Island Sharks,34,20,2223,11
297,jsitko1,Belmont Biscuits,34,24,2683,15
298,username0251,Cudahy Day Drinkers,34,29,3350,22
299,kjs97,Aurora Highlanders,33,17,1339,5
300,Bender4k,Findlay Brew Crew,33,18,1674,5
301,Ecthelion,Gondolin Archers,33,18,1751,14
302,BeantownBro,Beantown Bros,33,19,1878,5
303,yazfan67,Westborough WooSox,33,22,2253,22
304,DNX,North Dakota Fighting Sioux,33,25,2380,11
305,liebeiou2,Everett Glory,33,26,3418,10
306,th52,Brooklyn Dinger Hitters,32,14,1251,20
307,BriDav006,Delmarva Shorebirds_TTC,32,16,1065,9
308,rvd887,KR Royal Chanels,32,21,2077,16
309,baseballjuice4254,East Troy Trojans,32,22,2515,20
310,TeddyO,Joe Buck Yourself,32,26,2592,7
311,BigDingerman,Fort Erie Meteors,32,27,3159,13
312,RyanHall,Oceanside Baseballroos,32,27,3201,20
313,Gnoozhe,Buhl Awesome Snakes,32,27,3379,5
314,04Monstah,John Henry Must Dye (hiS haIR),32,27,3470,5
315,alexothegreat520,Hackensack Bulls,31,4,300,2
316,strak2,San Gabriel Curve,31,14,1190,16
317,yno88,Elam Van Gilders,31,14,1242,18
318,jkmoney044,Fresno Fupas,31,15,1546,9
319,Dalepoint,Lake County Captains,31,18,1243,8
320,3xacharm,Wellington Waves,31,18,1895,7
321,iiiExist,Paterson Drillers,31,22,2318,16
322,aughts10367,Windy City Southside Pale Hose TTC,31,24,2547,8
323,andhud,Angkor Koupreys,31,24,2692,11
324,RetiredBanker3,Mimico Marauders,30,1,1,1
325,Freedom1978,Yokota Samurai,30,7,524,11
326,Ballspiker,Bainbridge Badasses,30,7,862,2
327,Garnak,St. Louie Louies,30,8,446,7
328,heathdg,Slightly Crushed PCK,30,13,868,3
329,BaseballBoi,Cuyahoga Falls Capitals,30,16,1292,15
330,Bonkers25,Brooklyn Cyclones,30,19,2263,21
331,Lach,Mooresville Devils,30,19,2611,5
332,saracen31,Split Squid,30,24,3211,9
333,Phredthebaker,Providence Friars - HotL,30,27,2934,13
334,Stormin48,Nocatee Gators,30,29,3882,9
335,mjs2309,Kansas City Kings,29,5,172,2
336,Blutester1959,Taylor Street Lappers,29,8,828,8
337,chelsea0011,Rockland Surf,29,13,1272,9
338,Andy,TROUT METEOR,29,17,1637,9
339,atabakin,Virginia Beach Freaks,29,17,1920,5
340,mustardplug,Somerville Villains,29,18,2217,13
341,USGrantS,Gettysburg Iron Brigade,29,19,1685,9
342,Capes,Wheatfield Underdogs - GH,29,24,3050,12
343,adj202,Adubs Astros,28,6,366,5
344,Wildzombie,Atlanta Yaks,28,10,1011,4
345,scokap42,Maine Guides,28,11,1070,4
346,Nex,Panglao Tarsiers,28,16,1527,25
347,bravesfan774,Atlanta Braves,28,16,1674,12
348,ErieGM,Erie Seawolves,28,18,1344,10
349,broth32,Maui RoadtoHana,28,18,1948,17
350,EricByrnes,False Hustle,28,22,2134,24
351,kglw,Bay View Blaze,28,22,2770,5
352,tmccubbin,Kerrville Antlers,28,24,3371,4
353,nicolji,Edinburgh Diamond Devils,28,28,3215,11
354,BinBin1466,Troop Goof,27,7,779,5
355,TidyRighties,Possum Ridge Southpaws TTC,27,9,819,6
356,cjbaseball11,Utopia Skywalkers,27,9,861,5
357,MaxLP80,Bonney Lake LPs - GH,27,10,537,10
358,Feffer,Sack of Wet Mice,27,12,1500,4
359,stephenwdavis,Reno Rhinos,27,17,1884,3
360,coolnicwang,NIC GTpro PRS LTD-2015,27,18,1766,6
361,AdmiralBertTruth,Lemoore LeMonsters,27,18,1867,9
362,BriDav004,Portsmouth Merrimacs,27,21,1976,29
363,Fighting22,Clown College Dropouts,27,21,2912,12
364,ClevelandRises,Cleveland Bridesmaids,27,25,3007,12
365,aikotoba,TAIPEI BUNNY,27,26,3196,19
366,BigDaddy1928,UVM CATS,26,5,455,3
367,littleMAC77,Liberty Express,26,6,428,2
368,dmacgreg37,Notre Dame Fighting Irish,26,9,697,12
369,hotroute07,Telluride Giants - CG,26,11,1009,10
370,EVCinNYCfm,EVC's Let the Music Play Ball-TTC,26,12,1121,22
371,playtime,Calgary Diamond Dachshunds,26,14,1298,19
372,ArtistRanger,Retro Birds TTC,26,14,1408,4
373,buythedipnhodl,Las Vegas Rebels,26,14,1684,18
374,AceBrainteaser,Pop's Volcanos,26,15,1597,6
375,Talonx,Mount Juliet Golden Retrievers,26,15,1629,7
376,MoonlightMatt,Maple Madness,26,15,1631,11
377,XCRunners,Jeepville Wranglers,26,17,1688,13
378,dldl1077,Anyang 235,26,18,1791,21
379,mjw1774,Waterloo Vampires,26,18,2045,16
380,HulkaMatt,Kobe Crows,26,19,1541,15
381,firstresponderpoet78,Windermere RedKnights PCK,26,19,1997,31
382,philo,Oceano Otters,26,21,2038,21
383,dishnet34,Kalamazoo Brewers,26,23,2579,11
384,bilt12,JN Cardinals,26,26,2649,19
385,tlasko,Cleveland Spiders - CG,26,33,4077,22
386,thekid1919,Somewhat Damaged,25,6,624,3
387,zachbl757,San Diego Hilario's,25,7,738,4
388,TheRick,Rockford Redbirds,25,9,503,2
389,apelikejay,ApeLike Apes,25,9,1274,5
390,drudonohue,Carlos Chaos Cats,25,13,1174,5
391,ESPN,Richmond Highlanders,25,14,1615,5
392,Mabukie,The Real Deals,25,17,2307,6
393,lewis1985,Scuderia Ferrari,25,18,1739,15
394,Geoman153,BlackRidge Bandits,25,19,2799,8
395,jacobavalene,LCFC FOXES,25,20,2149,7
396,matsustrak3,Borocay Bombardiers,25,24,2843,11
397,GrinerMB282,Billy's Beane Counters,24,10,960,3
398,prettylarry,Shreveport Short Kings,24,11,1065,7
399,joekelly161616,Twin Lakes Townies,24,13,1196,30
400,jbeighley78,Charlotte Hellcats Too GH TTC,24,14,1347,11
401,SamwiseGanja,GreenBowl Packers,24,15,1899,23
402,J1A19P5,Calgary Vipers,24,16,1511,16
403,nichodav,Oakville A's,24,19,1943,20
404,Dohyuk_Athletics,Paramus Fisher Cats,24,24,2663,19
405,theyeti101,Sakuragawa Park Cats,24,28,4031,10
406,brox13,Shelbyville Nuclear Power Plant,24,29,3164,29
407,Jackphoenix,Tardis City Doctor Who,23,9,427,16
408,jocan44,Pensacola Swampangels,23,9,961,13
409,wwonkas,Oregon Coast Exploding Whales,23,11,889,13
410,cubbyfanboy,Sydney Whalers,23,13,1551,11
411,nutbunniesTTC,Kamurocho Dragons,23,14,1547,7
412,Tvbona,Goshen Fighting Maple Leafs,23,15,1880,4
413,Karlzab,Lamigo Monkeys,23,15,2196,6
414,jjsavage,Shawnee Cougars,23,17,1370,27
415,Tackett17,Shelby Valley Miners,23,18,2563,10
416,splattus,New Haven Ravens,23,20,2407,17
417,sp1derm4n,Liaoyang Railers,23,25,3951,7
418,Cosmey5,Beaver Dam Beavers,22,7,462,12
419,Thistledroyd,Manchester Camels,22,7,519,3
420,jackvbd,Philadelphia Phillies,22,7,689,12
421,TVBen,Jubilife Luxrays,22,8,744,12
422,2boomer,Gunnar Gunners,22,9,929,6
423,Cap_Anson,Trawick Blueberry Crushers,22,10,1272,12
424,Stogies,Tampico Stogies,22,12,1336,15
425,xiayun2024,NorCal CGE,22,12,1512,2
426,WayneDo,Alberta A's,22,13,1451,18
427,Petrichor,J-town Tortugas,22,14,2148,3
428,aal333,Chicago Beans - CG,22,16,1720,21
429,BigMuggsyBulldogs,Miami Big Muggsy,22,17,2169,15
430,dtgalganski,San Francisco Redbirds,22,18,1187,17
431,SenatorZero,Space Ghosts,22,18,2129,16
432,jk11,Orlando Blue Waves,22,20,2947,22
433,MrAnthropy,Bob Hamelin Enjoyers,22,21,2518,18
434,JQJr,Salt Lake Stormin' Mormons PCK,22,23,3187,19
435,sloth_26,Brunswick Sloths,22,25,3167,31
436,mookiesmith,Los Angeles All-Stars,21,4,318,2
437,trotrains,Austin Vaqueros,21,5,306,10
438,tigertiger,Toronto Blue Jays,21,8,515,5
439,cbrisk22,Seattle Pilots,21,9,901,10
440,Nex2,Viking Quest,21,9,1017,7
441,petrichor_PCK,Punxsutawney Pandas PCK,21,10,1191,15
442,dlarsentx,Temple Texans,21,12,1604,7
443,jjuengel,St. Louis Braumeisters,21,12,1638,8
444,willsmithrakes,San Leandro Barbosas,21,15,1824,22
445,FrozenCola,Sacramento Rainiers,21,16,1823,18
446,Stringerbell25,Chicago Baseball Elite,21,16,2196,10
447,gmjorden,RISP City Scorers,21,18,1910,33
448,ArmandBaseball,Jacksonville Cthulhu,20,1,4,4
449,supernoah,Vancouver Pilots,20,4,188,12
450,ajslayer44,Winnipeg Team of Awesome,20,6,409,5
451,maninhat76,Florida Men,20,9,890,13
452,dcaframe,Wind Point Brewers,20,13,1714,9
453,ErieGMv2,Erie Moon Mammoths PCK,20,18,1382,5
454,GoClippers,winning winners,20,18,2046,7
455,Boom-Boom,Anchorage Sky Hawks,20,18,2066,31
456,sirstrak2,Arcadia Ballboys,20,24,2618,20
457,404found,Phoenix Rebrand 5,20,24,2728,23
458,Crimson,Mississauga Maple Trees,20,25,3280,23
459,n8kat,Tradewind Tides,20,29,3299,24
460,dwhit110,Indianapolis Clowns,19,4,307,8
461,Stephen172,Norfolk Gamecocks,19,6,601,3
462,MudPuppy3,Shinjuku Tanuki PCK,19,7,574,11
463,WeissDownsSoler,Jeju Tarheels,19,9,726,16
464,Baseballbroseph21,Aurora Diplomats,19,10,651,14
465,jeeplj,Lynchville Mobster,19,11,1451,7
466,eggplantparmesan,Eggplant Parmesan,19,13,1290,11
467,Joetime,Dunedin Standard Poodles,19,17,2083,16
468,WeAreMarshall,Marshall M.I.C.E.,19,17,2478,11
469,sashindor,Los Angeles Vice,19,18,1894,11
470,youlikethat,Erie Otters,19,18,1911,16
471,Anteaterpadre,Miramar Flying Tigers,19,18,2078,10
472,neatsox,Western Greysocks,18,4,226,5
473,redsoxfaithful,Charlotte Aviators,18,6,591,3
474,mcolhoun,I Love NY TTC,18,8,900,12
475,cacrowl,Normal Nighthawks,18,11,1024,7
476,stormybacca,Neo Roaring Twenties TTC,18,15,2183,3
477,tksnow8,Seattle SuperSonics,18,16,1725,12
478,BusterGrey2,Seattle Stealthier,18,17,2111,14
479,FlagOfUlysses,People's Red Army,18,17,2235,24
480,WillP,Vancouver Canadians,18,18,2072,10
481,BeatleBoy9112,B-Town Barnstormers PCK,18,22,2533,15
482,sdrater,Montreal Expos,18,24,3147,23
483,Lorgeous,Rockford Peaches,17,4,157,8
484,stevenclase,Cleeveland Wings,17,4,253,3
485,setzer42,Idaho Spuds,17,6,301,7
486,WeedinMaine,Sabattus Maine Phanatics,17,6,362,11
487,DonkeyKickDray,Chai Lai Dobbies,17,7,276,6
488,FlickOfTheWrist,SW Washington Black Bears,17,8,442,11
489,AW13_Theme,Rocktober TTC,17,9,1010,12
490,ItsHellboy,Sacramento Tuxedos - CG,17,11,1202,10
491,2-seamer,Detroit Spirits,17,11,1533,22
492,bksenior3,Hokkaido Mr. Sparkles,17,12,1303,23
