//Rank,User,Team,Points,Played,Combined,Best
124,dag,Chicago Rat Finks,112,59,2060,1
125,macadcar3,Like a Rock,109,39,1132,1
126,GraniteTiger,Tallassee Tornados,109,73,2169,4
127,mrogner,Chico Heat BFF,108,51,1700,2
128,trojanman,Everett Aquasox,107,105,3775,2
129,werbenmanjensen1,Freedom Grabbers - HOTL,106,41,1369,2
130,gocanes1962,PSL Hurricanes,105,38,1003,1
131,NateLovesGallo,Gotham City Batmen,104,37,1002,1
132,zukus,Weavers Tomato Plants,104,69,2206,4
133,Calis,New York Brownies,103,55,1710,3
134,EVCinNYCdr,Dodgertown Blue Legends TTC,101,37,1158,1
135,CAMELSBACK,Venus Flytrap,101,42,994,1
136,John5539,Mos Eisley Smugglers,99,20,495,1
137,macadcar2,White Rabbitt,99,24,614,1
138,malivion,Dewey Decimals,99,34,842,1
139,josh31ut,Shartlesville ShihTzus - HotL,96,20,449,1
140,ArtistRanger,Retro Birds TTC,96,54,1982,1
141,BeatleBoy911,B-Town Nasty Boyz,94,47,1751,1
142,Alvinpaul24,Wash Park Ringers PCK,94,63,2396,1
143,MoonlightMatt,Maple Madness,93,47,1922,3
144,chefkd3,O'block Scoundrels,93,49,1951,1
145,Raptor,Ogden Raptors - HotL,93,57,2682,6
146,catnip,Vermont Lake Monsters,93,82,3195,2
147,Lowlyworm,Lowlyworm's Apple Car,92,52,1598,3
148,ColeTop10,Toronto Terns,91,45,1585,2
149,Sulha,Anyang Baekho,91,47,1641,2
150,HermanSmutley,Southend Seasiders,88,21,550,1
151,rokular01,Youngstown Ironmen,87,76,2812,4
152,robdoc,Lehigh Valley Militia,86,32,926,1
153,Isarnan,Dark Web Hackers,86,52,1792,1
154,torvald7890,Deadwood Punch and Judys TTC,85,37,1170,2
155,Cosmey5,Beaver Dam Beavers,85,55,2751,2
156,drdynastic,Red Rock Live TTC,84,43,1451,2
157,dsslow,Diablos Rojos del Mexico,84,49,1363,4
158,alexothegreat520,Hackensack Bulls,84,63,2294,5
159,campbell1112,New Platson Grand Petites,83,43,1537,1
160,pwtigers,Flyball Sluggers,83,56,2196,1
161,naede,Imatra Pallo-Veikot,83,86,3677,3
162,yetibon,Napoleon Bonapartes,82,85,3700,2
163,Vialabo,El Vampiro Ankle Biters,81,53,2178,1
164,robzilla346,Griffin Brawlers,81,62,2096,4
165,fussmucker,PA Freedom,80,23,801,1
166,Dono43,Corio Tigers,80,59,1883,4
167,Bjriand,Chihuahua Crickets,79,37,1239,2
168,J1A19P5,Calgary Vipers,79,56,1916,3
169,AngusFrankfurter,Cherry Grove Lazer Raptors,77,36,1617,1
170,GoClippers,winning winners,77,67,2240,4
171,SirPeanut,Lima Ligers,77,106,4338,3
172,NoahRoman12,Hononegah Hornets,76,90,3610,1
173,jbeighley78,Charlotte Hellcats Too GH TTC,75,21,469,1
174,Leif2022,Minneapolis Millers,75,126,5060,3
175,kinz8908,Loxicha Guerreros,73,18,540,1
176,gocanes1962t2,Savannah Hurricanes,73,21,579,1
177,netherwarden,Moria Miners,73,41,1605,1
178,moses_k,Cincinnati Melodies,73,62,2365,2
179,thatsmyboye,Scranton Parade Days,71,34,1197,1
180,JmRoto,. Roto,70,45,1544,1
181,mfentin21,Grapevine Velocity,69,24,828,1
182,EricByrnes,False Hustle,69,32,1051,4
183,stevezog1,East Side Educators,69,40,1871,1
184,robadge,Dover Dandies,69,56,1619,1
185,idk,Petersburg Shockers,68,20,444,1
186,Infinite,Murray Giants,68,28,919,3
187,trod,Freedom Grabbers - HotL,68,43,1350,4
188,mosesk,Louisville Scarlett,67,61,2488,4
189,BlueSamuraiG,Vegas Shrimp Cocktails Hot,66,47,1709,7
190,JKap,Ruffian Dogs,65,16,302,3
191,sasso,Mooresville Hyons,65,65,2197,2
192,redtoss,RETO Dragons,65,78,2231,2
193,jpmile,Los Altos Undertakers,64,19,431,2
194,oaky,Ye Ye,64,43,1990,8
195,sdshrugged,Groundball Defenders,64,67,2456,7
196,RQIII,Buffalo Braves,63,26,722,3
197,KoreanExpress,Magnolia Campfires,63,43,1657,4
198,Fheee,Huntsville Sweet Biscuits,63,79,2989,4
199,CJStark,Cleveland Vulcs,62,17,481,1
200,CarlKam,Minneapolis Loons,62,18,421,3
201,JLakeMan,The Spacehog,62,32,1076,1
202,mthebeau,Madison Mashers - CG,61,16,541,1
203,lisalovesbiology,StufftyTown Stuffties,61,17,556,1
204,Blazeswim,Crown Point Corn Dogs,61,31,924,2
205,littleMAC77,Liberty Express,61,82,3262,2
206,jsitko2,Montrose Beach Piping Plovers,60,14,548,2
207,jcomey,Albion Rounders,60,22,745,1
208,kirkeby14,Amarillo Armadillos,60,37,1120,4
209,Mark_in_MS,Oxford Rebels TBD,59,20,469,2
210,rtoro6,Gastonia Peaches,59,30,1089,1
211,tksnow8,Seattle SuperSonics,58,28,967,3
212,EVCinNYC2,TTC World Baseball Classic,56,42,1397,4
213,HarackPhoto,Westerly PauseOx WlyPox,56,45,2126,3
214,muSICKLessons,Ujdur Illusion 1  2 Joe Gunson Roses,54,22,655,2
215,dougdascenzo,Fletcher Froggers,54,86,3280,2
216,theroc44,New York Titans,53,19,511,2
217,Gnoozhe,Buhl Awesome Snakes,53,29,2110,3
218,Torvald78,New York WS Participants TTC,53,46,1492,8
219,apkaufman,Cleveland Fighting Walleye,53,121,5346,7
220,qm3125,Dungeon Meshi Marcille,52,52,1735,3
221,louisqzer,New York Blind Squirrels,51,14,473,1
222,thehuseman1,Hancocks and Sidekicks TTC,51,21,535,2
223,Sipimi,Kamouraska Sportagie,51,30,937,2
224,SouthSideDP,Leland Lefties,51,52,1978,5
225,flash10367,Fightin' Fours TTC,51,61,2385,4
226,vallen,Gainesville Gentlemen,50,21,647,1
227,Tatu,Warner Robins Demons PCK-HotL,49,18,577,2
228,HermanSmutley1,Billys Bunters,48,20,569,2
229,WeAreMarshall,Marshall M.I.C.E.,48,21,700,1
230,thestormbacca,Detroit Wookies,48,23,737,2
231,astory2go,Rock County Stratocasters,48,29,960,2
232,laptophound,Rocky Mountain Gladiators DBL,48,36,1211,2
233,Petrichor,J-town Tortugas,47,13,367,2
234,Tirin,Kitchener Flying Pigs,47,16,378,4
235,Cramel,Farmville Barnyard,47,29,658,3
236,SNHED,Starfleet RedshirtsPCK,47,64,2539,6
237,wxscott,Denver Bellaires,46,20,662,2
238,PeskyPole,Hetfield Sandmans,46,21,570,3
239,FoolsErrand,Dock Ellis Day-Trippers,46,29,1354,3
240,scokap42,Maine Guides,46,33,1244,5
241,GBrett05,Piper Down,45,21,743,1
242,yuzuru4,SSG Landers,45,23,814,2
243,Tom88,Krakow Hussars,45,29,1621,7
244,ADifferentJason,Old Orchard Beach Parking Lot - HotL,45,31,839,4
245,bdcable2,Cibolo Packsters PCK,45,32,1255,3
246,vivmeep,Tuskvale Mammoths,45,36,1308,3
247,dougthecanuck,Greenisland Blue Jays,45,40,1682,2
248,Darkshark17,Detroit P.C. Express,44,23,645,3
249,BearMountainX,Bear Mountain Bruins,44,36,1430,4
250,bdcable1,Cibolo Anklebiters,44,53,1975,5
251,SirFozzie,Boston Wombats,44,67,2748,8
252,reinantone,Auburn War Eagles,43,14,413,2
253,Rathier,Wasteland Outlaws,43,23,603,5
254,TheGoldenCrow,Star City Arrows,43,26,1054,4
255,Harumf,Borders Scots,43,46,1758,3
256,xiayun2024,NorCal CGE,42,17,843,4
257,cubsfan2003,Big Boys From B Teams TTC,42,21,736,1
258,hdpoe,Boxted Thunderbolts,42,28,1274,1
259,BteamBomber,Henry Murder Hornets,42,41,1615,4
260,shawnsull10,Wash Park Rangers,42,44,1681,3
261,ssanger1974,Southside Hitmen - HOTL,41,13,688,5
262,james4112,Trois-Rivieres Red Rhynos,41,16,452,2
263,Rob_Deer_in_the_Headlights,El Paso Preguntas,41,24,771,6
264,Evilbert103,Orlando Heatstrokes,41,36,1370,5
265,junhs,HILITE RECORDS,40,22,807,1
266,Dal8847,Grand Rapids Warriors,40,43,1691,3
267,stradico,Desert Sand Dwellers,39,22,876,3
268,Macadcar5,Out of Left Field,39,24,743,4
269,makabara,Black Dog,39,24,943,3
270,balfazzar,Legends of the Devil Rays TTC,38,17,380,2
271,wampeter57,King Street 504s,38,17,437,5
272,mraudit,Meaty Oakers,38,20,587,3
273,BananaRama,Dragon Deeznuts,38,26,858,4
274,TinkerEversChance,Chi City Ballerz,38,44,2116,5
275,sourd99,New Planet Gophers TBD,37,18,763,3
276,jsitko1,Belmont Biscuits,37,27,983,5
277,camel,Dunwich Horror,37,28,891,6
278,pakardian,Genericsville Generics,37,44,1667,3
279,MikeBatesTWIBH,Iowa City Prairie Rats,37,53,2259,8
280,bphilb,Sanford Riverwalks - GH,36,19,696,3
281,Succubus_Amber,Philadelphia Succubi,36,20,635,4
282,Laptophound25,Youtube Tutorials,36,20,678,4
283,FranchiseTimeMachine,Franchise Time Machine,36,23,734,2
284,CT97,Cymru Crushers,36,32,1136,5
285,chartle85,Clear Spring Blazers,35,18,633,1
286,DKing395,Sarasota Seminoles,35,18,675,1
287,twinndaddy,OBX Waveriders,35,29,1616,5
288,Junasox,Montrose Cobblers,35,40,1823,4
289,hemizen07,Great Lakes Pontooners,35,41,1514,5
290,Dylan1990,Deep 13 Mad Scientists,35,47,1701,4
291,vdog26,Universal Six7s TTC,35,53,2222,4
292,bpetran,Milwaukee Pitties,34,18,460,5
293,tommyhoogy,Puget Sound Giant Pacific Octopi,34,29,1694,5
294,firstresponderpoet78,Windermere RedKnights PCK,34,42,1617,7
295,KoaDaBoa808,Honolulu Warriors,34,44,1720,5
296,ErieGM,Erie Seawolves,33,13,543,2
297,macadcar,Three Little Birds,33,17,408,6
298,jjhels,OKC Black Bears,33,43,1810,8
299,bea940,Salem-Keizer Volcanoes,33,47,2522,6
300,PlayBall2020,Toledo Mighty Hens,33,50,1846,6
301,TheGreatBambi,1st Class Millionaires,32,26,1960,4
302,pray_for_pray,Guro Gunslingers,31,3,105,1
303,ricktheruler76,Freedom Grabbers - Hotl,31,5,89,2
304,FongQ,Taiwan No.1,31,16,489,7
305,jc25,Beckley Bucks,31,27,763,5
306,gabeeg,Fancher Creek Giants,30,42,1683,5
307,Kebort31,French Creek Valley,30,54,2062,4
308,owenthejammy1,Moonsault Collective MCs,29,13,565,3
309,BigDonkey,Triad Junkies,29,26,1202,6
310,josh111,Camden Curve,29,28,941,5
311,thaines,Jamestown Highlanders,29,45,1792,5
312,GrooveJedi,Johnstown Squatch Nationals,29,63,2814,5
313,deldah35,Bedford Phillies,28,41,1356,4
314,kgriffin44,Brethren Bobcats,27,15,457,3
315,JFP,Monroe Braves,27,17,598,3
316,Sandmd1,Encinitas Rockfish,27,19,703,6
317,fotmb,Thixton Misers,27,23,802,5
318,andy00aggie,Rockwall Ballers,27,24,1266,4
319,cjbaseball11,Utopia Skywalkers,27,26,1316,6
320,reevesa01,Lynnwood Pogos,27,27,1051,10
321,huntedsours,Seoul Heroes,27,34,2217,7
322,golfhog44,Kenny G's Saxophones,27,56,2522,12
323,sporer,Detroit Lions - GH,26,14,369,6
324,ScarMilly,Young Cash Register aka Lil Broomstick,26,20,640,5
325,SamwiseGanja,GreenBowl Packers,26,25,855,6
326,tonkmato,Tennessee Trash Pandas,26,34,1209,11
327,jeeplj,Lynchville Mobster,26,48,2686,5
328,GypsySon,West Valley Wazzirds,25,14,420,7
329,mjw1774,Waterloo Vampires,25,19,757,4
330,CapnBludd,Pelham Gardeners,25,21,725,4
331,Warhawk2,Havoris Trespassers,25,22,830,5
332,robertcat,Denver Highlanders,24,15,538,4
333,bdbk85,Columbus Crimson,24,32,1232,7
334,ianofalltrades,Paso Robles Powerhouse,23,11,667,6
335,Ominous,Zand Dynasty,23,12,484,4
336,davemacknis,Tegridy Farms Weed,23,20,614,5
337,junghwaowh,Andong Samsung Lions,23,21,712,5
338,SunnyBurn,Salt Lake Bees,23,21,792,7
339,blaikknight8,Springfield Wonderbats,23,22,789,6
340,sdrater,Montreal Expos,23,26,1332,3
341,tpyufejp,Mucha Fat Cat Fat Cat,23,28,1409,9
342,jspy83,Houston Swangas,23,31,862,5
343,double,State of the Sim Leagues TTC,23,35,1198,7
344,oldbustedjorn,Tatamy Geckos,23,38,1582,8
345,The_juice,Newport Gull's LE,23,44,2789,3
346,Circusham,Clover Hill Spartans,22,6,156,2
347,ErieLive,Montreal Expos TTC,22,9,266,6
348,Karamba88,Krakow God Honour Fatherlan,22,30,1195,7
349,millerp16,Biloxi Shuckers,22,32,1105,4
350,O_Welles,Three Mile Island Atomic Isotopes,21,4,71,2
351,choi9899,Pohang Steel,21,12,409,2
352,AshevilleBoomsticks,Asheville Boomsticks,21,17,573,6
353,Spmartin1993,Columbus Fire Ants,21,17,1059,11
354,katoering,Steal Or Not to Steal TTC,21,20,665,5
355,ehartman877,Rancho Cucamonga Quakes,21,21,731,8
356,Plopper,Failure At Launch TTC,21,21,783,7
357,Ballspiker,Bainbridge Badasses,21,26,1058,4
358,BigLew,Gabe Ohners' Secret Sauce,21,32,1257,6
359,PAF,Gladstone Athletics,21,54,2748,13
360,krparker87,WV Power,20,21,862,8
361,jvanwinkle72,Jacksonville Cardinals,20,31,1739,7
362,kenr48,To Hit or Not to Hit TTC,20,37,1175,5
363,TheNano74,Albuquerque Balloonists - PCK,20,40,1659,7
364,oooff,Blue-gray Gnatcatchers,19,9,259,4
365,JediRoninX,Jacksonville Rainstorm,19,15,738,8
366,Nightpain,Ethiopia Pink Elephants,19,16,646,5
367,Primo_Fizz,Scottish Claymores,19,16,919,5
368,Erad,Kandy Kanes,19,17,534,3
369,MikeS1963,Mason Comets,19,18,650,3
370,jocan44,Pensacola Swampangels,19,21,816,4
371,Ripper44,Cayuga River Kings,19,21,823,8
372,hipandkneedoc2,Asbury Springboks TTC,19,26,1039,7
373,Doctor_Gonzo,Salty Hall Monitors TBD,18,5,162,6
374,ZadyJones,Zady Zadathans - 643,18,8,206,3
375,USGrantS,Gettysburg Iron Brigade,18,16,650,6
376,theyeti101,Sakuragawa Park Cats,18,17,594,8
377,MikeAnhingas,Jacksonville Suns,18,19,732,3
378,FutureLegend,Idaho Huskies,18,21,804,6
379,eggplantparmesan,Eggplant Parmesan,18,24,1062,12
380,chrisfeeley,Bramley Moor South Stand,18,42,1929,7
381,brix0900,Dresden Big D Dingers,17,11,340,3
382,Guancous,Silver Spring Gazebos,17,11,396,5
383,Summit39,Burlington Bees,17,17,734,9
384,xyzzy,Murandy Bulls,17,18,567,6
385,everagain,Aalter Cats,17,18,664,6
386,lexmoose,Blanton Bourbons,17,20,764,5
387,OBEEFE,Kent Island Sharks,17,23,1289,8
388,miketho22,Bend Buzzboys,17,30,1114,6
389,Michigator,Pawtuckett Poets,17,40,2187,6
390,BigDingerman,Fort Erie Meteors,16,9,356,12
391,Karlzab,Lamigo Monkeys,16,9,525,7
392,mv1234,Phoenix Mango Slush - HOTL,16,10,598,14
393,Crimson,Mississauga Maple Trees,16,10,715,6
394,ErieGMv2,Erie Moon Mammoths PCK,16,12,580,3
395,BusterGrey2,Seattle Stealthier,16,14,481,8
396,odradek,Ghost Town Revenants,16,16,521,13
397,JRobs42,Tewksbury Minutemen,16,18,590,8
398,KnightShade,Baton Rouge Sharks,16,20,753,9
399,Dono433,Giant 43s,16,31,1318,8
400,austin09,Presidential Naptime,16,33,1458,6
401,baseballjuice4254,East Troy Trojans,15,6,268,5
402,cpm120,Satellite Beach Manatees,15,7,235,12
403,justinthenavy,Bloomingdale troopers,15,13,538,3
404,tmccubbin,Kerrville Antlers,15,13,824,11
405,ezradenney,Al Amedans,15,15,633,10
406,dedwar49,St. Lucia Pitons,15,16,563,9
407,DiamondGrey,Pittsburgh Pixelators,15,20,712,8
408,StratMJ99,K-State WildCatz,15,21,775,8
409,nmize0,Kansas City Sloppers,15,21,785,9
410,JHenryWaugh,Monterey Ostriches,15,21,830,13
411,Whackamole,Homeless Emperors PCK,15,21,832,4
412,TeddyO,Joe Buck Yourself,15,22,1094,8
413,bogieman,Mankato Cougars,15,24,982,11
414,MMCOLDAGAIN,City Hospital Doctors,15,26,1671,15
415,Dewey217,Knoxville Vulcans,14,3,82,8
416,Undrdog44,Stanislaus Rock-a-Chaws - GH,14,10,405,5
417,joshparkin,MBQ Warriors,14,12,395,6
418,rrajeevy,New York Jackhammers,14,13,626,6
419,PeJo,Nantucket Sleighriders,14,14,497,10
420,MortaleMago,Flagship City Kitties,14,15,680,5
421,yazfan67,Westborough WooSox,14,15,951,8
422,JMDJR1,Billstown Fightins (F2P),14,17,931,10
423,gocanes1962t4,Little Creek Hurricanes PCK,14,18,583,13
424,mrbill965,Gotham Knights,14,20,845,6
425,merryva,Virginia Highlanders,14,25,948,12
426,Evno,Tyler Thumbsmashers,14,25,1068,5
427,KINGLORDBOT,California Ragebaiters,14,25,1425,3
428,Nsigg15,Madison Mallards,14,26,689,8
429,JayZecch,Hilltop Imperfect Heroes,14,27,1217,8
430,BeatleBoy9112,B-Town Barnstormers PCK,13,4,156,10
431,Rastandy,Mississauga Rush,13,17,564,11
432,Vuroth,Montreal Royals,13,22,895,9
433,ktoering,OOTP 26 Imperfects TTC,13,25,1101,18
434,Moby-Dick,Inland Empire 66ers,13,26,787,8
435,DIamondGirl,Sunnyvale Bottlekids,13,30,1309,16
436,sfj,Jacksonville Leafs,12,7,193,7
437,Bigphatman87,Brentwood Guggenheims SoM,12,7,251,6
438,RealVanillaGorilla,Epic Furries,12,11,467,5
439,sam10gle,Evermore Larpsharks,12,12,617,3
440,ssuldae,BUSAN BLUE JAYS,12,14,553,5
441,HalfBucks,Candy's Bucks TTC,12,17,715,9
442,cjens,SLC Punks,12,18,384,7
443,arejujas,Fusion M Asere QueBola,12,21,776,10
444,buddyleesmil,Newfolden Nordics,12,21,805,12
445,Doubleglaze,Roseburg River Hawks,12,21,837,18
446,thatllhappen,Vista Views,12,22,1020,11
447,csnay,Connecticut Astronomers,12,23,1082,12
448,duckworth92807,So Cal Spicy Srirachas,12,25,1223,13
449,Dernatron26,Hobbiton Hobbits,11,2,36,4
450,Ecthelion,Gondolin Archers,11,6,156,6
451,BusterGrey,Seattle Stealth,11,6,193,9
452,kenr48go,Speed Kills Defense Wins TTC,11,10,322,3
453,Lathum,Belmar Brew Crew,11,16,604,10
454,ChrisBT97,Welsh Dragons,11,17,599,9
455,Monopole,Medford Mallards,11,17,770,7
456,alien1011,Verona Edge,11,19,690,10
457,Huskies,Arizona Huskies,11,19,744,9
458,ncrouse7,Lonestarr Eagle Fives,11,21,800,13
459,mikescott25,Kentucky Headhunters,11,22,1245,7
460,smc250,San Antonio Rockets,11,22,1463,8
461,TheTyler,Boston Shamrocks,11,23,1057,14
462,accismusfox,Rocky Mountain Vibes,11,28,1261,16
463,tkinsherf,Boston Dash,10,4,97,15
464,Buchs,Orlando Citronauts PCK,10,4,355,7
465,thekid1919,Somewhat Damaged,10,5,126,9
466,GCSterling,Brocton Velociraptors,10,6,164,8
467,Bandrezik,CLARKSTON WOLVES,10,6,292,10
468,s1c1l1anm0bst3r,Long Island Ducks,10,8,239,11
469,smilbuddylee,Strandquist Warriors,10,9,373,7
470,Griffins,Raytown Battle Kings,10,12,407,12
471,sm6986,Rajasthan Rifles Rifles,10,13,585,13
472,Wild_Stallions,PNW Wild Stallions,10,15,499,9
473,Rabbit_Sabo,Sabo's Saturn League Legends TTC,10,15,669,9
474,Broadstlegends,Gettysburg Federals,10,16,1233,17
475,gckritzer,Town of Lake Loons,10,21,877,12
476,cubsfan23,Altamonte Ryno's,10,21,898,9
477,mcreynoldsam,Rockwall Winguts,10,21,1078,8
478,haynhuss,Wailuku Hurricanes,10,27,1430,5
479,Kvothe,Horton Bay Hemingways,10,28,1385,16
480,psmith922,Glendale Suave House,10,34,1424,18
481,backfischudo13,Squamish Silver Wolves,9,2,32,11
482,Robman711,Milwaukee Bulletts,9,3,97,11
483,The_DrG,Fire Sale Extraordinaire,9,3,136,13
484,Johanna,German Yoghurt - F2P,9,5,164,7
485,eatemuptigers,Motor City Kitties - HotL,9,6,405,15
486,thegreatbambini,Roselle Rockets,9,8,234,12
487,Joetime,Dunedin Standard Poodles,9,8,321,14
488,jimsteele1020,Buckeye Bombers,9,9,339,14
489,jsitko,Pulaski Pils,9,14,635,10
490,wheresscott,New Jersey BC PCK,9,17,691,14
491,stormybacca,Neo Roaring Twenties TTC,9,19,782,7
492,chewythewookie,Detroit Wookies PCK,9,23,964,15
493,eddythejet,Johnstown Johnnies,8,3,55,6
494,Con,Vlad News Bears,8,6,148,13
495,Jaultma2,Abbott Station Rail Riders,8,6,173,13
496,cstream2,Chicago Seals,8,9,330,12
