//Rank,User,Team,Points,Played,Combined,Best
167,WizardOfMaahs,Nickel Slots And Crock-Pots,173,151,6356,1
168,JohnnyKing,Houston Lake Monsters,172,54,1556,1
169,Swift92,Calgary Hitmen,172,82,3042,1
170,guiletrud190,Longueuil Privateers,172,118,4499,1
171,c6dandi,King Street Clubbers,170,71,2203,1
172,dewylee,Studio Dewy dewy,169,64,2181,1
173,pwney,Big Memers,169,74,2313,1
174,Baba_Ganoosh,Las Vegas Silver Knights,168,63,2978,1
175,ItsHellboy,Sacramento Tuxedos - CG,168,81,2692,2
176,sourd99,New Planet Gophers TBD,166,78,2136,1
177,DiamondGrey,Pittsburgh Pixelators,166,107,3465,1
178,galiotta,Ludvika Jammers,164,77,2552,1
179,BobLawBlaw,Goshdarn Sons a Pitches,163,128,4534,1
180,laptophound27,Dave's Not Here Man TTC,162,70,2073,1
181,JamoreLoL,Compton Corgis - HotL,162,93,3833,2
182,BeantownBro,Beantown Bros,161,62,1978,1
183,jayz,Hyannis Harbor Hawks,161,68,1795,1
184,ColonelJW,Gainesville Colonels,161,85,2752,1
185,Nighthawks68,Neptune Nighthawks,161,94,3104,1
186,Kerim,NoseKerim Astea Kerim,160,41,1122,1
187,Harumf,Borders Scots,160,67,2064,1
188,ZachNurn32,Seattle Worm Burners,160,86,2779,2
189,JediRoninX,Jacksonville Rainstorm,160,103,3765,1
190,gocanes1962t3,Mayport Hurricanes,160,104,3378,1
191,kelly59,In The Middle Of... Nowhere,160,119,4813,2
192,Nsigg15,Madison Mallards,159,58,1874,1
193,GypsySon,West Valley Wazzirds,159,82,3428,1
194,spinball,Toledo Walles,157,78,2443,1
195,BaseballBoi,Cuyahoga Falls Capitals,157,82,2978,2
196,Readyone,Maui Stingrays,157,83,3445,1
197,Michigator,Pawtuckett Poets,156,54,2013,1
198,mbrew99,Cap City Beavers,156,64,1877,2
199,davidlopezh,Houston Flying Chanclas,156,82,2608,1
200,Leif2022,Minneapolis Millers,156,82,2680,2
201,giest,Southern Dawgs,155,53,1758,1
202,spatrick4,Freedom Grabbers - HotL,155,58,2448,1
203,kuo,Taiwan Kuo Chen,155,72,2214,1
204,MurkyWaters,Bakersfield Tornado,155,97,3518,1
205,drs2631,North Jersey Patriots,154,98,3341,2
206,Fredmerkle,Lynn Cactuars,152,44,1364,1
207,FlyingWV,FlyingWV eMLB'ers PCK,152,70,2884,1
208,pauserefresh,Big Lake Dock Bullies,152,71,2870,1
209,MajorWager,Amish Adjacent Time Travelers,151,82,3160,1
210,celeryman,Bay Area Botanists F2P,150,63,2452,1
211,BigRedMachine,Spring Breakers,150,95,3203,2
212,Wilbur2,North Vancouver Captains,149,38,1210,1
213,macadcar2,White Rabbitt,149,39,2314,1
214,TeddyO2,Lafayette Crawfish,148,78,3605,2
215,Skotrix,Winnipeg Warriors,148,82,2873,1
216,goatfishman1,The Dancing Homers,147,65,1926,1
217,googs78,Allegheny Foresters,147,77,2365,2
218,El_Dirtbag,Long Beach Dirtbags,147,100,3617,1
219,rjmeyer,Angola Mine Sweeepers,146,29,710,1
220,downpat75,Idaho Taters,146,61,1860,1
221,Huskies,Arizona Huskies,146,78,2518,2
222,mraudit,Meaty Oakers,145,64,1739,2
223,netherwarden,Moria Miners,145,64,2015,1
224,Stockhfcrx,Tidewater Tides,144,59,1773,1
225,TayMorris27,ACGC Chargers,144,76,3179,2
226,Trosbo11,Cowtown Giants,144,78,2663,1
227,Nortdirt,Philadelphia Nortdirts,144,87,3471,1
228,ijbaker23,PhillyBurgh Philates,143,49,1525,1
229,KHitt,Long Beach Gladiators,143,62,1891,1
230,Klayylmao,Santa Barbara Mapachos,142,55,1525,2
231,Kalohn,Mirabel ExNats,138,65,2048,2
232,thegreatbambini,Roselle Rockets,138,109,4194,1
233,Lukin,Federal Way Paladins,137,59,1757,1
234,cbo49r,OBR Giants,137,62,1884,1
235,ZadyJones,Zady Zadathans - 643,137,63,1806,2
236,tkahrska,St. Paul Killer Whales,137,74,2667,1
237,Joe_Charboneau2,Huatulco Tacos,137,93,3269,2
238,pablogons,Squaxin Steelheads,135,50,1607,1
239,trojanmanPO,Everett Aquasox PO,135,66,2016,2
240,nahariko,Mjau City Knights,134,46,1225,1
241,Mark_in_MS,Oxford Rebels TBD,134,63,2003,1
242,kmacdonald,Almont Boiler Makers,134,69,2334,1
243,DKing395,Sarasota Seminoles,134,89,3835,1
244,jrynmac,Queso Cats,133,41,1304,1
245,sdshrugged,Groundball Defenders,133,49,1539,1
246,robgisbri2,Reston Blues,133,56,1718,1
247,gabeeg,Fancher Creek Giants,132,63,2095,2
248,AnthonyP,Steady Swing Centurions,132,79,2439,1
249,howski3318,HWood Griffins,131,27,836,1
250,RadioAlex,Castlegar River Kings,128,37,852,1
251,MaxLP80,Bonney Lake LPs - GH,128,39,1515,1
252,deadairwaves,Long Island Ducks,127,63,2074,1
253,10ozBud,IM FEDUP,127,78,2786,2
254,BigDingerman,Fort Erie Meteors,126,36,1143,1
255,tpyufejp,Mucha Fat Cat Fat Cat,126,66,2307,1
256,joekelly161616,Twin Lakes Townies,126,77,2531,2
257,madmask,Myrtle Beach MaskMen,125,47,1357,1
258,Dtrodden15,Weston Whoppers,125,49,1543,1
259,ColeTop10,Toronto Terns,125,51,2573,1
260,Chappel27,San Francisco Seals,125,56,1919,1
261,fussmucker2,The Oscar Madisox TTC,125,72,2498,1
262,68piratePCK,Central Kentucky Pirates PCK,124,41,1855,2
263,stan-theman,Chesapeake Bay Shoremen,124,51,1797,1
264,jemiller226,Ellwood City Wolverines,124,74,2367,1
265,bb5,Antarctica Penguins,123,42,1315,1
266,thegreatonex22,Gravity Falls Mysteries,123,49,1504,1
267,ArrrMatey,Stargell Stars TTC,122,49,1788,2
268,MattPhilpott,Firestone Murderhawks,122,62,2026,1
269,speedbeastx,Chicago Spuds,122,69,2498,2
270,choi9899,Pohang Steel,121,41,1425,1
271,nutbunniesTTC,Kamurocho Dragons,121,45,1298,1
272,BeatleBoy911,B-Town Nasty Boyz,121,50,2471,1
273,MrCrabbypants,Milwaukee Abandoned Boats,120,40,1163,1
274,easyriko,Rikoville Rikostars,120,70,2507,1
275,bwede,Orange City Bright Sox,120,75,3526,1
276,RiverTrippin,Southern Illinois River Bandits,119,46,1619,1
277,jdpelissier,Quebec Labrador,119,64,2080,2
278,austin09,Presidential Naptime,119,88,3340,1
279,Madskillz77,Lake County Captains,119,114,4253,2
280,jaybran11,Freehold Thunder,117,46,1347,2
281,DIamondGirl,Sunnyvale Bottlekids,117,54,1799,1
282,MadDog92,Mad Smashers,117,58,2037,1
283,tfswartz87,Oakland Oaks,117,64,2254,1
284,flyingsq,Richmond Assassin Squirrels,116,50,1521,1
285,diddler69,Oakland Bandits,116,62,2185,1
286,FrozenCola,Sacramento Rainiers,115,32,740,1
287,TVBen,Jubilife Luxrays,115,40,1211,1
288,Bigphatman87,Brentwood Guggenheims SoM,115,47,1357,1
289,Consign,Reisterstown Orioles,115,52,1631,1
290,gwjones7,Banana Splits TTC,115,56,1912,1
291,geno36,BunDang TyChe,115,82,4178,1
292,eddienwonton,Alhambra Moors - HotL TTC,114,48,2345,1
293,Moby-Dick,Inland Empire 66ers,114,62,2191,1
294,flash10367,Fightin' Fours TTC,114,63,2361,2
295,GrooveJedi,Johnstown Squatch Nationals,114,145,6240,4
296,FutureLegend,Idaho Huskies,113,28,1279,1
297,EvilDrugLord,Chula Vista Alley Cats,113,49,1738,1
298,ArtistRanger2,Toronto Terns PCK,113,50,1806,1
299,moggsy,Reno Raccoons,113,112,5718,3
300,timland14,Royal Canadian Mounted - PCK,112,33,2402,1
301,ESPN,Richmond Highlanders,112,51,2080,2
302,Fightnchance,Fightz Dawgz,112,77,2752,3
303,Ineluki,Cheswick Saxons,112,101,4217,1
304,John5539,Mos Eisley Smugglers,111,46,2371,1
305,JAtlas,Vero Beach Screwballs,110,44,1395,1
306,MisterxDave,Scranton Tacos,110,53,2835,2
307,PeJo,Nantucket Sleighriders,110,71,2692,1
308,Bush_Flyers,NorCal Bush Flyers,109,54,1819,1
309,KillerSnark,Houston Hurricanes,109,110,4372,2
310,edlusk1990,Rocket City Trash Pandas,108,55,1791,1
311,kgriffin44,Brethren Bobcats,108,69,2187,2
312,pwtigers,Flyball Sluggers,107,41,1106,2
313,wampeter57,King Street 504s,107,43,2049,1
314,MJBreit,Tulsa Doom,107,49,2558,4
315,HeavyHitta,Redwood City Bonnies,107,52,2254,2
316,smc250,San Antonio Rockets,107,54,1738,3
317,hawkeyemba,Hawkeye Hellraisers,107,81,2991,1
318,tstack,Northern Indiana Navigators,106,41,1311,1
319,danielsonmanlet,Atlantic City Surf,106,44,2258,1
320,slider915,Middie Bears,106,53,1872,2
321,BJS615,Cranjis McBaseball Cranjis,106,64,2197,1
322,xero1986,Clarington Coyotes,106,69,2626,2
323,Butta2050,Bellingham Legends,106,75,2612,2
324,jrooney325,Hudson Railers,105,36,971,1
325,nevermind,Oslo Fightin' Vegans,105,58,1905,1
326,Steevo,Ahuntsic Big Orange Birds,105,67,2644,1
327,Grinch,Macedonia Villains,105,82,2951,1
328,dwhit110,Indianapolis Clowns,104,38,1152,1
329,MulletWithBuffaloWings,St. Louis Sparkies,104,38,1281,1
330,wes33,Williamsport Crosscutters,103,26,556,1
331,Rothelstein,Dino Nuggets,103,41,1342,1
332,reinantone,Auburn War Eagles,102,33,1557,1
333,jeremy7227,Wanderview Warpigs,102,38,1460,1
334,gloomhawk,Saint Wendel Quaggas,102,42,1335,1
335,ravencrest,Beachcrest Blue Hornets,101,41,2070,1
336,Evilbert103,Orlando Heatstrokes,100,32,974,1
337,coyner32,Staunton Bulldogs,100,37,1060,1
338,jastyra,Houston Rednecks,100,37,1648,1
339,arizonaone,Indiana Rhubarbs,100,46,1639,1
340,vrmind,vrmind vrmind PCK,100,55,2953,3
341,ksb501,Boston Red Sox,100,56,1884,2
342,hemizen07,Great Lakes Pontooners,100,63,1958,2
343,jackvbd,Philadelphia Phillies,100,65,2417,2
344,dougthecanuck,Greenisland Blue Jays,100,85,3032,3
345,HuskyDev,Vine Diners,99,27,824,1
346,sfj,Jacksonville Leafs,99,37,1236,1
347,MudPuppy3,Shinjuku Tanuki PCK,99,40,2249,1
348,rokular01,Youngstown Ironmen,99,60,2297,1
349,golfhog44,Kenny G's Saxophones,99,61,2319,1
350,Vamplex,Ottawa Torch,98,39,1629,1
351,StratMJ,Carbondale Saluki's,98,50,1437,4
352,Thicketcat,Mt Lookout Locos,98,55,2459,1
353,stros98,Richmond Eagles,97,55,1887,4
354,bwsf93,Newington Nightmares,96,42,1325,1
355,katybass2004,Birmingham Astros,96,52,2017,2
356,RamblinSoL,Ramblin Wreck,95,34,1829,2
357,arejujas,Fusion M Asere QueBola,95,44,1546,1
358,Morganisahottie,Pensacola Blue Wahoos,94,52,2087,1
359,gocanes1962,PSL Hurricanes,94,53,2740,3
360,Leo_The_Lip,Richmond Gems,94,58,2174,1
361,Grinchful,Houston Harambanators,94,62,2189,1
362,baba_ganoosh_2,Oakland Athletics,94,63,3423,6
363,chriscjolley22,Carolina Bulldogs,93,29,879,1
364,Towlie,Towlie Terrors,93,35,1158,1
365,shawnsull10,Wash Park Rangers,93,63,3524,4
366,loon,Norfolk Cyclones,92,47,1588,1
367,BThom,Ann Arbor Blue - CG,92,53,1799,1
368,OrenthalGames,Deep Space Niners,92,56,2144,1
369,Circusham56,Spartan Hill Clovers-PCK,92,85,3302,3
370,agile,Chicago Exploding Whales,91,46,1355,2
371,prettylarry,Shreveport Short Kings,91,54,2043,2
372,stevez57,Philadelphia Fighting Zs,91,56,2139,1
373,Substituted,Chicago Gamblers - GH,91,72,2582,4
374,Beckdawg,Charlotte Sundevils - CG,90,33,973,1
375,TheWAX,Gwang Ju Confusion,90,36,1061,2
376,noryan34,Chargn Bison - HotL,90,44,1745,1
377,Abruzzi,Bruzziville Bruzzi Blockers,89,36,1259,1
378,Aircab77,Liberty Legends,89,56,2011,1
379,jollygoodlad,Las Vages,88,32,1063,2
380,ezradenney,Al Amedans,88,42,2769,2
381,Bcmarsh,St. Louis Browns,88,51,1549,1
382,Wildzombie,Atlanta Yaks,88,87,3501,3
383,Monopole,Medford Mallards,87,42,1379,1
384,kinz8908,Loxicha Guerreros,87,52,1831,1
385,Elite_Czar,Lawrence Lions,86,33,1643,1
386,dghostlaw,Buffalo Dingos,86,40,1279,2
387,CJStark,Cleveland Vulcs,86,45,1375,3
388,Jjfid66,Stillwater Cowboys,85,27,761,1
389,Undrdog44,Stanislaus Rock-a-Chaws - GH,85,39,1364,1
390,Shodai,Kumamoto Ozeki TBD,85,42,1186,2
391,jkmoney044,Fresno Fupas,85,63,2447,3
392,herbtarlec,Yellowhead Wounds,84,80,3363,1
393,BigDaddy1923,Montpelier Solons,83,15,502,1
394,thelwynn,Laffy Comedians - CG,83,29,1785,2
395,LalaLord,Los Altos Spartans,82,45,1575,2
396,gcam62,Dirty South Hit Men,81,32,817,3
397,bwradley,Petaluma Chicken Pluckers,81,40,1229,3
398,The-Answer,Anaheim Angels,81,41,1286,1
399,warkol,Washington Senators,81,50,1481,3
400,StargellStars,South Sacramento Marauders,80,25,605,2
401,Bbbbbb123,Rocket City Trash Pandas,80,28,870,1
402,schmoova2,Ocean City Crab Rave,80,30,911,1
403,scokap42,Maine Guides,80,33,1343,1
404,kjs97,Aurora Highlanders,80,38,1302,2
405,Pillowpants,New England Pillowpants,80,42,1368,1
406,Hensword,Kolnes Eagles,80,53,2238,1
407,davidelgin4,Lake Michigan Beach Bums,80,54,2084,2
408,Alvinpaul24,Wash Park Ringers PCK,79,46,1603,1
409,jhayes89,Huntsville Red Aces,79,51,1739,1
410,laptophound67,Friggen Rights Lets Go PCK,79,65,2409,1
411,whoamisir,Sandy Tiger Sharks,79,66,2456,2
412,davemacknis,Tegridy Farms Weed,78,37,1254,2
413,weesnaw,Santa Cruz Banana Sluggers,78,42,1494,1
414,dmacgreg,Gonzaga Bulldogs,78,52,1651,2
415,chalupapants,Sheboygan Pub Enthusiasts PCK,78,52,3001,3
416,stan0738,Bronx Bombers,78,53,1942,1
417,reservegoalie,Warner Twins,78,58,2089,3
418,Ballspiker,Bainbridge Badasses,77,24,599,2
419,vallen,Gainesville Gentlemen,77,28,1227,2
420,JohnHouse,Midtown Scavengers,77,42,1406,4
421,mjs2309,Kansas City Kings,77,44,1587,2
422,Xracman,Utica BruDogs,77,53,1818,2
423,FlaviusFlav,Alma Scots,76,31,1108,2
424,ChinoVot,Madison Monsters,76,46,1529,4
425,StratMJ99,K-State WildCatz,76,51,1671,3
426,SLW2,Schultz Boys,76,63,2593,2
427,sasso,Mooresville Hyons,76,67,2379,3
428,JoMo,Columbus Crusaders,75,28,835,2
429,wallooner,Madrid River Bears,75,29,874,1
430,fightz,fightz Raiders,75,33,1007,2
431,BrewerPacker,Wisconsin Badgers,75,45,1675,2
432,jhaverkamp,wayesboro generals,75,63,2310,2
433,kdwayne,Lexington Minutemen,75,67,2542,2
434,Stephen172,Norfolk Gamecocks,74,39,1293,2
435,LV-Kats,Lehigh Valley Kats,74,50,1650,2
436,trojan_fight,UCLA CHOKED CHOKED,74,54,2062,1
437,Duster75,Channahon Sox,74,64,2151,6
438,The_juice,Newport Gull's LE,74,73,3127,4
439,apkaufman,Cleveland Fighting Walleye,74,77,3161,2
440,Constabie,Numenor Faithful,73,31,973,1
441,MikeAnhingas,Jacksonville Suns,73,37,1436,4
442,stl_jason,Waffletown Syrups,72,40,1390,1
443,VixVapo,Livonia Trapaholics,72,42,1365,1
444,Schmitty94,Nashville Stars,72,43,1550,1
445,snuf1029,San Diego Madres Madres,72,65,2540,1
446,thatsmyboye,Scranton Parade Days,71,23,801,4
447,Warfsu3,Nippon Ham Fighters,71,25,817,1
448,EVCinNYCdr,Dodgertown Blue Legends TTC,71,37,1926,2
449,wduchene,Carlsbad Atitudes,71,39,1358,3
450,ArtistRanger,Retro Birds TTC,71,48,1862,1
451,superflymike1,Studio City Coldwaters,70,24,552,2
452,OJsOtherGlove,Da Bears PCK,70,28,1101,1
453,Anteaterpadre,Miramar Flying Tigers,70,31,1003,2
454,Thespacemaninla,Koreatown Typesetters,70,33,1348,1
455,Jimbojones124,JUB JUB,70,40,1293,2
456,Quiddle,Longview Lumberjacks,70,43,1423,2
457,boredmetsfan,Beacon Falls Wet Bandits,70,48,1842,2
458,MrPinchy,Jamaica AArdvarks,69,29,772,2
459,goblue1996,Selkirk Saints,69,34,985,2
460,sdrater,Montreal Expos,69,34,1489,1
461,Syt1976,Vienna Waltz Kings,69,37,1075,2
462,Jays197,Red Deer Rebels,69,39,1305,2
463,randycapps,Four Oaks Rebels,69,45,1676,2
464,justinthenavy,Bloomingdale troopers,69,59,2527,2
465,ptotherizzo,Toronto Baccalas,68,38,1307,1
466,BusterGrey,Seattle Stealth,68,39,1164,2
467,OBEEFE,Kent Island Sharks,67,34,1347,1
468,ClarenceRutherford,Htown Homers,67,36,1383,2
469,Dono43,Corio Tigers,67,41,1263,4
470,ChestRockweil,Reston Gunners,67,42,1396,3
471,bullforce,Sandusky Bullforce,67,61,2203,3
472,jjsavage,Shawnee Cougars,66,30,899,1
473,stephenwdavis,Reno Rhinos,66,34,1286,2
474,MrBabyGiraffe,Peck Park Peckers,66,59,2153,5
475,RTLight,San Jose Big Cats,66,64,2438,3
476,moses_k,Cincinnati Melodies,65,24,763,1
477,Jaultma2,Abbott Station Rail Riders,65,27,779,2
478,CraigDahlberg,Gotham Folie a Neuf,65,27,968,1
479,SNHED,Starfleet RedshirtsPCK,65,30,1111,1
480,Bearcat729,Cincinnati Chili Dogs,65,57,1992,2
481,Raptor,Ogden Raptors - HotL,65,57,3587,4
482,iamnumber494,Castelia City 494s,64,32,1214,1
483,Cornelius,Kendall Diamond Cats,64,34,1191,1
484,Warhawk,Arcadia Wyverns,64,44,1587,3
485,Tuckleberryfin5,Pine City Tronics,63,18,516,2
486,bucs,Pitt Bucs,63,45,1585,4
487,mrcollins18,Haverhill Hillies,62,19,532,1
488,Steveb415,Carpentersville Hammers,62,28,853,1
489,eggplantparmesan,Eggplant Parmesan,62,33,1120,2
