//Rank,User,Team,Points,Played,Combined,Best
427,sdrater,Montreal Expos,12,15,936,12
428,rvd887,KR Royal Chanels,12,17,939,11
429,rwc497,Lexington Bombers,12,19,1225,5
430,Karamba88,Krakow God Honour Fatherlan,12,25,1750,14
431,slimkibbles,Bora Bora Beach Bums,12,26,1041,15
432,Happypg,Lacoochee Mudcats,12,28,1192,13
433,JFP,Monroe Braves,11,2,40,7
434,Blutester1959,Taylor Street Lappers,11,8,464,14
435,SamwiseGanja,GreenBowl Packers,11,10,369,6
436,SOdette,Asheville Skydogs,11,11,595,16
437,Putnybud,Pallenville Sleepers,11,11,685,13
438,Phredthebaker,Providence Friars - HotL,11,16,664,11
439,stevez57,Philadelphia Fighting Zs,11,16,1345,14
440,suprmane,Susquehanna Soniqs,11,17,1287,7
441,04Monstah,John Henry Must Dye (hiS haIR),11,23,1441,23
442,LMicheleS,La Quinta Bench Warmers,10,1,3,3
443,Blazeswim,Crown Point Corn Dogs,10,1,5,5
444,Woody85,Eugene Anglers,10,1,7,7
445,gcam62,Dirty South Hit Men,10,8,267,5
446,Expos1969,Lachute Laurentides,10,8,461,7
447,TheRick,Rockford Redbirds,10,9,569,15
448,TheGreatBambi,1st Class Millionaires,10,10,753,13
449,HarackPhoto,Westerly PauseOx WlyPox,10,11,759,8
450,art331,Gotham Rogues PCK,10,12,785,21
451,eggplantparmesan,Eggplant Parmesan,10,13,568,16
452,OrenthalGames,Deep Space Niners,10,13,1075,12
453,eamuscatuli,Prestige Worldwide,10,15,595,8
454,dshaw47,Timbuktu Blues,10,19,796,13
455,dhennes1,Fayetteville Firestorm-HotL,10,20,1618,19
456,Stoli406,Casas Adobes Red Foxes,10,22,1487,9
457,Swift92,Calgary Hitmen,9,3,74,8
458,jsayer7,Cape Cod Sharks - HotL,9,3,75,5
459,paochs,The Lou Blues,9,4,164,6
460,CaseyP,Henerville Hippos,9,7,556,14
461,JSW123,Melbourne Criminals,9,8,352,9
462,Quiddle,Longview Lumberjacks,9,9,354,10
463,dedwar49,St. Lucia Pitons,9,10,362,9
464,ChinoVot,Madison Monsters,9,10,459,12
465,darrylm,Edmonton Prospects,9,12,458,9
466,szczepam,Philly Phlyers,9,13,659,11
467,tkinsherf,Boston Dash,9,14,984,15
468,ptotherizzo,Toronto Baccalas,9,15,526,11
469,schmoova2,Ocean City Crab Rave,9,19,1306,33
470,JPSwanson91,Ridgefield Resistance,9,20,1654,25
471,redleggingitout,Cincinnati Skyrosas,9,21,864,11
472,Dugbark,Louisville Bourbons,8,5,181,11
473,Torvald78,New York WS Participants TTC,8,7,253,16
474,martye88,Secaucus Doggies,8,7,478,5
475,Cav2,Dazed Confused,8,7,506,16
476,jerseymk,Ocean City Islanders,8,8,532,13
477,Gnoozhe,Buhl Awesome Snakes,8,8,706,13
478,TinkerEversChance,Chi City Ballerz,8,9,384,25
479,Peakashoo,Seoul Dragons,8,12,799,30
480,bongledongle,Norbury Knobwhompers,8,14,565,15
481,flash10367,Fightin' Fours TTC,8,16,659,15
482,SouthSideDP,Leland Lefties,8,16,1007,25
483,Tvbona,Goshen Fighting Maple Leafs,8,19,1133,21
484,Duckaneer,Sierra Nevada Nuggets,8,19,1434,19
485,Kebort31,French Creek Valley,8,24,1239,13
486,KINGLORDBOT,California Ragebaiters,8,24,1664,11
487,Anteaterpadre,Miramar Flying Tigers,7,4,158,15
488,Infractor,Halifax Citadels,7,5,186,13
489,TeddyO,Joe Buck Yourself,7,5,285,31
490,Dbsilber,Santa Monica Vikings,7,5,388,9
491,JeRP,Lawrence Wildboyz,7,6,217,8
492,TheTyler,Boston Shamrocks,7,7,353,5
493,crouton215,Chicago Crouton Crushers,7,7,471,13
494,PSYCHOG,Fishhawk Freedom,7,7,589,10
495,Donruss87,Alcatraz Jacks,7,9,365,6
496,aughts10367,Windy City Southside Pale Hose TTC,7,9,663,23
497,csnay,Connecticut Astronomers,7,10,544,12
498,jjh471,Connecticut Not Loud People,7,12,769,26
499,mkeaveney01,Saratoga Colts,7,12,861,18
500,Tornade,STMDB AS,7,14,668,7
501,PlayBall2020,Toledo Mighty Hens,7,14,692,15
502,PAF,Gladstone Athletics,7,16,1017,8
503,NickVermont,Cologne Wrath,7,16,1216,16
