POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
RP,Joe Grzenda,R,L,2,2,5,3,1,3,1,2,5,3,1,3,1,Normal,Normal,Normal,119,135,150,105,150,88,116,65,92,128,62,115,-,-,-,30,20,24,23,1,5,9,59,-,-,-,-,-,-,-,-,7,6,4,10,Yes,83323,Diamond,5 523,0,6 750,No,N,0
LF,Tyler O'Neill,R,R,129,119,98,98,133,103,78,132,96,72,131,58,69,Groundball,Ex. Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,12,-,-,-,9,3,5,2,97,97,97,-,-,-,-,-,-,123,106,122,107,89,64,111,Yes,84672,Diamond,8 762,7 000,9 000,Yes,N,0
CF,Mike Trout,R,R,78,76,69,71,107,133,63,79,70,72,104,125,62,Flyball,Normal,Normal,1,27,1,79,1,1,29,1,85,1,-,-,-,-,-,18,30,35,18,84,85,61,56,-,39,-,-,-,98,78,89,28,16,7,99,No,82310,Diamond,7 576,6 001,7 576,No,N,0
SS,Trea Turner,R,R,87,91,102,79,118,77,110,86,95,80,130,84,102,Normal,Pull,Pull,1,3,1,1,5,1,3,1,1,5,1,20,-,-,-,94,105,75,92,4,3,2,-,-,-,-,-,99,-,-,-,120,55,50,121,No,82923,Diamond,11 124,7 008,13 898,No,N,0
SP,Hunter Brown,R,R,25,25,25,32,14,21,25,25,25,32,14,21,25,Normal,Normal,Normal,94,93,77,87,97,91,94,76,90,97,66,31,1,1,1,15,23,55,18,14,19,22,50,-,33,-,-,-,-,-,-,9,12,11,5,No,82189,Diamond,4 440,4 001,5 555,No,N,0
2B,Piper Davis,R,R,89,89,93,85,81,92,95,89,93,86,81,92,95,Groundball,Normal,Spray,1,9,1,19,5,1,10,1,20,5,1,69,53,53,53,95,66,59,91,55,62,68,137,45,104,104,75,80,-,-,60,72,64,49,55,No,84574,Diamond,11 252,7 500,13 298,Yes,N,0
SP,Jacob deGrom,L,R,54,52,59,39,13,49,65,55,61,40,15,51,66,Normal,Normal,Normal,90,78,96,96,69,94,84,98,108,73,60,68,-,-,-,26,28,46,16,-,-,-,67,-,52,-,11,-,-,-,-,29,22,24,40,No,82223,Diamond,4 704,0,4 398,No,N,0
RF,George Harper,L,R,86,69,77,77,90,98,88,92,104,80,122,108,112,Normal,Spray,Spray,1,3,1,1,5,1,4,1,2,5,1,25,-,-,-,5,2,10,1,64,88,100,-,-,-,-,-,-,86,59,89,59,60,60,55,Yes,84193,Diamond,5 310,0,5 200,No,N,0
C,Chris Hoiles,R,R,67,64,71,63,131,144,81,69,73,81,105,125,79,Normal,Spray,Spray,1,1,1,1,1,1,1,1,1,1,1,5,110,75,63,8,10,7,5,2,9,10,-,88,-,-,-,-,-,-,-,11,11,11,30,Yes,84200,Diamond,4 587,0,4 500,No,N,0
2B,Joe Morgan,L,R,84,108,98,77,43,130,85,77,96,78,86,118,121,Normal,Spray,Spray,1,1,1,1,2,1,1,1,1,2,1,14,-,-,-,74,42,63,79,10,9,5,-,-,-,73,-,-,-,-,-,93,75,62,87,No,83771,Diamond,12 724,8 891,11 969,Yes,N,0
SP,Barney Morris,L,R,18,18,38,35,1,51,57,19,40,37,2,56,61,Normal,Spray,Normal,98,87,87,79,91,98,88,87,82,91,73,60,1,1,1,48,33,29,41,1,1,5,86,-,-,32,-,-,-,-,-,16,6,5,28,No,84547,Diamond,16 946,9 101,19 000,Yes,N,0
SP,Sonny Siebert,R,R,7,4,23,60,33,21,34,9,15,39,31,30,19,Normal,Normal,Normal,100,81,85,53,96,108,104,73,116,98,76,69,-,-,-,35,22,29,31,6,4,10,68,-,-,-,-,-,-,-,-,11,6,3,18,No,83316,Diamond,12 265,9 420,12 999,Yes,N,0
3B,Sal Stewart,R,R,96,108,115,98,114,112,112,93,100,98,108,101,103,Groundball,Pull,Pull,1,26,4,76,1,1,26,5,77,1,7,13,3,3,2,45,61,72,44,50,53,64,103,-,87,43,52,34,56,27,51,34,94,41,35,No,84649,Diamond,11 678,9 399,11 595,No,N,0
SP,Bryan Woo,S,R,23,23,20,24,5,22,18,23,20,24,5,22,18,Normal,Normal,Normal,80,82,105,98,75,83,89,108,111,78,66,44,1,1,3,31,24,36,13,11,19,29,65,-,49,-,2,-,-,-,-,18,17,4,33,No,82251,Diamond,5 239,4 001,5 100,No,N,0
RP,Jose Alvarado,L,L,6,6,6,3,1,3,1,7,7,3,1,3,2,Normal,Normal,Normal,116,113,50,95,123,121,133,52,99,150,16,68,-,-,-,27,20,23,23,9,5,7,55,-,43,-,-,-,-,-,-,10,6,4,15,No,85446,Diamond,7 229,5 212,5 559,No,N,0
C,Jim Brown,S,R,85,85,88,118,91,102,91,86,90,122,84,104,93,Line Drive,Pull,Normal,1,7,1,19,1,1,9,1,24,2,10,10,78,82,84,33,36,34,35,75,62,62,-,85,49,-,-,-,84,63,77,67,77,65,63,No,84568,Diamond,10 213,5 502,9 800,Yes,N,0
SP,Steve Carlton,L,L,34,31,23,61,30,51,13,35,30,77,32,33,26,Normal,Pull,Pull,127,117,70,89,131,135,101,74,95,105,86,60,-,-,-,29,24,25,22,4,1,10,61,-,-,-,-,-,-,-,-,5,6,5,5,No,85109,Diamond,12 528,10 100,18 399,Yes,N,0
CF,Jackson Chourio,R,R,92,92,92,129,94,83,90,93,92,110,94,73,88,Line Drive,Normal,Normal,1,23,1,68,1,1,29,1,85,1,5,-,1,1,1,62,59,62,55,76,85,74,112,-,72,60,55,45,93,70,88,59,85,76,56,No,81934,Diamond,4 412,0,4 800,Yes,N,0
LF,Rocky Colavito,R,R,66,38,76,32,132,175,118,72,84,92,140,167,99,Flyball,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,5,-,-,-,10,9,6,2,55,71,84,-,-,-,-,-,-,70,-,69,16,9,14,23,No,85305,Diamond,6 823,5 001,7 475,No,N,0
LF,Rocky Colavito,R,R,66,38,76,32,132,175,118,72,84,92,140,167,99,Flyball,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,5,-,-,-,10,9,6,2,55,71,84,-,-,-,-,-,-,70,-,69,16,9,14,23,No,85305,Diamond,6 823,5 001,7 475,No,N,0
2B,Nellie Fox,L,R,94,92,135,71,24,74,193,95,137,78,45,86,188,Groundball,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,22,-,-,-,108,79,72,107,7,9,10,-,-,-,126,-,-,-,-,-,83,49,54,104,No,83985,Diamond,12 841,10 420,14 500,Yes,N,0
SP,Lefty Gomez,L,L,16,16,13,12,4,43,8,16,16,24,4,48,16,Normal,Normal,Normal,115,102,66,86,111,111,106,50,89,115,93,43,-,-,-,27,26,25,23,3,9,8,61,-,-,-,-,-,-,-,-,5,6,4,6,No,83302,Diamond,4 502,0,4 500,No,N,0
C,Buster Posey,R,R,108,129,138,60,86,111,128,101,118,91,38,78,130,Groundball,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,18,105,94,99,62,66,61,56,5,2,5,-,110,82,-,-,-,-,-,-,27,77,16,43,No,83859,Diamond,14 204,13 667,16 888,No,N,0
SP,Cole Ragans,L,L,19,19,20,25,7,14,20,19,20,25,7,14,20,Normal,Normal,Normal,101,74,68,78,72,126,78,72,79,78,70,62,1,1,1,13,40,54,3,16,27,11,62,-,44,-,-,-,2,-,-,14,17,10,16,No,82391,Diamond,4 218,0,4 222,No,N,0
SP,Sam Streeter,R,L,63,63,50,52,3,46,37,63,50,51,3,44,36,Normal,Normal,Normal,100,99,104,97,100,97,90,101,92,89,74,60,53,53,53,29,26,27,25,1,6,11,64,45,-,-,-,-,-,-,-,47,6,4,28,No,84538,Diamond,16 587,10 801,16 666,Yes,N,0
SP,Zack Wheeler,L,R,24,24,24,22,5,11,24,25,25,22,5,12,25,Normal,Normal,Normal,87,84,89,82,86,86,89,88,95,87,77,60,-,-,-,18,56,39,28,-,-,-,79,-,56,-,10,-,-,-,-,29,26,20,42,No,82068,Diamond,5 624,4 001,4 900,No,N,0
2B,Marvin Williams,R,R,91,91,92,103,101,48,91,91,91,103,101,37,89,Line Drive,Normal,Normal,1,11,1,20,7,1,11,1,21,7,1,9,-,-,-,88,65,47,93,55,62,68,-,-,85,97,64,-,64,-,60,62,70,49,57,No,84567,Diamond,8 328,6 543,9 765,Yes,N,0
SP,Roger Wolff,R,R,7,4,10,11,1,82,14,8,19,23,1,61,29,Normal,Normal,Normal,69,70,98,62,74,86,134,115,145,129,99,64,-,-,-,30,44,32,21,2,5,9,80,-,-,-,-,-,-,-,-,16,6,4,28,No,84070,Diamond,5 039,0,5 200,No,N,0
RF,James Wood,L,R,99,96,77,93,98,96,60,100,79,104,102,104,61,Normal,Ex. Pull,Pull,1,25,7,74,1,1,27,7,81,1,5,15,3,3,1,24,29,46,14,57,61,67,64,-,58,-,10,-,66,39,61,44,76,51,51,Yes,82027,Diamond,6 510,5 701,8 999,No,N,0
SS,Xander Bogaerts,R,R,109,96,101,94,98,83,100,114,115,101,85,97,107,Groundball,Ex. Pull,Pull,1,3,1,1,5,1,3,1,1,5,1,16,-,-,-,91,108,87,96,8,6,8,-,-,-,-,-,102,-,-,-,89,26,19,78,No,83961,Diamond,4 751,0,4 724,No,N,0
SS,Elly De La Cruz,S,R,105,104,87,88,95,81,71,106,87,95,96,83,70,Normal,Pull,Pull,1,26,1,77,1,1,27,1,80,1,2,-,1,1,2,74,64,95,80,46,46,86,127,-,109,83,85,72,55,24,57,99,89,99,51,No,81965,Diamond,4 436,0,4 550,No,N,0
3B,Josh Donaldson,R,R,76,58,67,65,95,133,77,82,83,84,117,108,86,Normal,Ex. Pull,Pull,1,1,1,1,1,1,2,1,3,2,1,20,-,-,-,109,79,100,37,9,5,4,-,-,-,-,104,-,-,-,-,8,34,24,27,No,83745,Diamond,4 699,0,4 448,No,N,0
SP,Dwight Gooden,R,R,15,24,24,35,16,26,25,12,17,39,31,40,21,Normal,Pull,Pull,107,110,87,51,140,104,105,75,27,145,80,33,-,-,-,31,21,28,32,1,9,5,62,-,-,-,-,-,-,-,-,14,6,5,23,No,83262,Diamond,4 689,0,5 950,No,N,0
1B,Bryce Harper,L,R,91,91,86,98,94,91,81,91,89,97,96,94,85,Normal,Pull,Normal,1,28,1,83,1,1,28,1,82,1,-,-,4,4,1,31,41,63,37,54,54,87,83,-,61,21,31,-,66,37,67,22,73,43,66,No,82057,Diamond,4 560,0,4 599,Yes,N,0
C,Elston Howard,R,R,118,150,133,77,121,60,100,108,95,68,114,49,80,Flyball,Normal,Normal,1,5,1,1,7,1,5,1,1,7,1,4,74,59,109,32,26,29,31,59,65,69,-,82,51,-,-,-,69,-,65,33,6,18,19,No,85490,Diamond,64 585,45 000,0,No,N,0
SP,Jose Mendez,R,R,52,54,46,89,8,72,41,52,44,87,7,70,39,Normal,Spray,Spray,99,99,72,117,91,101,104,78,115,99,70,60,1,1,1,68,30,61,53,72,59,59,100,-,-,54,43,37,79,57,72,46,63,21,46,Yes,84529,Diamond,18 258,11 100,18 000,Yes,N,0
SP,Don Newcombe,L,R,66,66,45,51,48,61,21,66,53,65,64,68,36,Normal,Spray,Spray,86,113,88,115,113,89,108,91,123,101,73,70,1,1,1,31,28,28,25,9,5,8,68,-,-,-,-,-,-,-,-,8,6,5,28,No,84879,Diamond,21 185,16 000,0,Yes,N,0
CL,Cade Smith,R,R,21,21,18,14,2,13,15,21,18,14,2,13,15,Normal,Normal,Normal,118,91,84,73,100,113,94,83,78,102,16,49,4,4,1,23,33,53,33,3,3,3,71,-,55,9,17,-,-,-,-,26,24,14,40,Yes,82450,Diamond,7 008,6 000,13 999,Yes,N,0
SP,Spencer Strider,R,R,20,20,16,17,2,15,11,20,16,17,2,15,11,Normal,Normal,Normal,99,76,78,74,77,111,79,81,79,80,55,43,2,2,2,17,19,54,22,11,16,23,49,-,29,-,-,-,-,-,-,13,16,18,6,No,82161,Diamond,16 245,12 000,19 199,Yes,N,0
2B,Brice Turang,L,R,97,97,91,72,64,92,82,98,93,74,72,97,85,Groundball,Spray,Spray,1,25,1,74,1,1,26,1,77,1,5,-,1,1,2,81,86,59,89,66,55,53,138,-,87,97,77,76,71,48,63,54,82,73,89,No,81931,Diamond,4 670,0,4 689,No,N,0
RP,Alex Vesia,L,L,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Normal,Normal,115,125,74,158,109,120,116,62,135,107,14,54,-,-,-,27,20,23,23,6,9,9,55,-,-,-,-,-,-,-,-,5,6,4,5,Yes,84891,Diamond,6 068,4 610,6 800,No,N,0
SS,Mookie Betts,R,R,71,70,82,94,93,98,97,72,82,88,90,93,95,Normal,Ex. Pull,Pull,1,24,1,72,1,1,26,1,77,1,5,-,-,-,-,86,84,73,78,62,62,80,141,-,72,98,85,81,74,48,73,30,75,31,96,No,81784,Diamond,4 729,0,4 598,Yes,N,0
SP,Shane Bieber,R,R,1,1,4,3,1,3,1,1,4,3,1,2,1,Normal,Spray,Spray,147,85,71,95,81,131,92,83,100,88,75,53,-,-,-,28,22,24,23,5,10,10,58,-,-,-,-,-,-,-,-,6,6,4,7,No,83867,Diamond,5 769,4 001,5 700,No,N,0
SP,Dylan Cease,R,R,17,16,22,4,5,8,28,18,21,3,4,7,25,Normal,Normal,Normal,100,81,70,71,86,110,87,71,77,93,66,38,1,1,1,29,9,68,14,23,13,20,55,-,39,-,-,-,6,-,-,12,8,13,15,No,82518,Diamond,4 299,0,4 198,Yes,N,0
RP,Neal Cotts,L,L,1,1,4,2,1,2,1,1,4,3,1,3,1,Normal,Normal,Normal,107,104,75,112,101,89,136,60,109,150,17,115,-,-,-,35,20,26,23,9,8,4,65,-,-,-,-,-,-,-,-,5,6,5,5,No,83298,Diamond,5 416,0,4 585,No,N,0
CL,Tom Gordon,R,R,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Normal,Normal,88,133,75,101,150,99,116,58,110,120,18,84,-,-,-,24,25,25,26,10,3,6,56,-,-,-,-,-,-,-,-,5,6,4,5,No,82695,Diamond,4 794,0,4 500,No,N,0
SP,George Kirby,R,R,17,19,17,19,4,8,14,17,16,17,4,7,15,Normal,Spray,Spray,80,81,113,83,80,78,81,109,83,80,71,49,2,2,1,23,44,56,31,3,3,3,79,-,60,12,24,-,-,-,-,20,21,15,25,No,82252,Diamond,4 754,0,4 700,Yes,N,0
SP,Jacob Misiorowski,R,R,18,19,18,15,8,17,17,18,17,14,7,16,15,Normal,Spray,Spray,116,78,69,85,75,122,80,70,85,78,58,40,1,1,1,19,20,27,20,4,4,4,46,-,44,-,-,-,-,-,-,9,15,7,6,No,81947,Diamond,9 876,10 000,13 000,No,N,0
1B,Matt Olson,L,R,89,89,81,95,99,92,74,90,82,100,100,97,75,Normal,Spray,Spray,1,28,1,83,1,1,28,1,84,1,-,-,-,-,-,37,38,40,55,44,47,68,83,-,76,30,20,-,49,18,46,13,16,4,25,No,82147,Diamond,5 396,4 002,4 889,Yes,N,0
SP,Joe Ryan,R,R,26,27,32,33,2,27,37,26,31,32,1,26,36,Normal,Pull,Pull,83,77,94,94,69,93,81,101,95,75,63,52,1,1,3,23,12,56,3,15,27,10,48,-,34,-,-,-,-,-,-,20,27,12,20,No,82355,Diamond,4 462,0,4 598,Yes,N,0
2B,Bonnie Serrell,L,R,96,94,97,74,75,62,97,97,105,76,81,65,105,Groundball,Normal,Pull,1,8,1,18,3,1,9,1,21,3,1,8,1,1,1,94,67,45,92,6,11,9,-,-,81,102,-,-,-,-,-,65,70,45,56,No,84553,Diamond,6 012,4 066,5 995,Yes,N,0
SP,Logan Webb,R,R,21,23,21,32,8,18,20,21,20,31,7,16,19,Normal,Spray,Spray,77,92,97,68,104,80,95,99,67,110,81,41,1,1,2,25,20,32,3,27,18,50,52,-,38,-,-,-,21,-,14,19,17,16,25,No,81732,Diamond,4 173,0,4 299,Yes,N,0
1B,Kevin Youkilis,R,R,96,135,90,93,87,151,58,88,80,98,106,126,74,Normal,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,39,63,23,47,No,84197,Diamond,4 507,0,4 507,No,N,0
LF,Beals Becker,L,L,115,91,90,65,83,58,88,125,111,97,93,69,92,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,12,-,-,-,2,1,8,8,68,48,74,-,-,-,-,-,-,77,54,74,64,79,70,69,No,83812,Diamond,4 232,0,4 230,No,N,0
SP,Barney Brown,L,L,83,69,64,61,61,86,61,88,82,77,88,88,77,Normal,Spray,Normal,84,88,93,55,105,85,95,88,97,95,66,60,-,-,-,29,53,36,25,72,59,59,84,-,-,-,-,-,79,57,72,38,11,3,28,No,84528,Diamond,11 392,6 100,12 000,Yes,N,0
C,William Contreras,R,R,90,93,94,81,79,97,93,90,92,79,77,91,91,Normal,Pull,Pull,1,28,1,84,1,1,27,1,79,1,1,-,64,64,69,30,32,58,26,36,39,56,77,63,49,12,22,-,36,-,31,16,72,18,40,No,81935,Diamond,4 399,0,5 798,No,N,0
RF,Nelson Cruz,R,R,118,135,107,68,131,114,81,113,90,60,125,81,69,Groundball,Pull,Pull,1,2,1,1,3,1,2,1,1,3,1,10,-,-,-,9,2,6,2,55,71,60,-,-,-,-,-,-,64,-,58,9,11,9,26,No,83853,Diamond,4 305,0,4 300,No,N,0
2B,Johnny Evers,L,R,103,112,128,66,12,92,132,100,126,75,30,105,151,Groundball,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,19,-,-,-,112,75,71,99,5,8,2,-,-,-,124,-,-,-,-,-,71,84,59,60,No,83778,Diamond,4 681,0,4 585,No,N,0
SP,Logan Gilbert,R,R,18,20,18,14,6,8,15,18,16,12,6,7,14,Normal,Normal,Normal,95,77,98,83,75,88,75,94,81,72,79,44,1,1,1,26,35,67,12,18,15,12,77,-,63,-,25,-,2,-,-,16,16,8,24,No,82253,Diamond,4 705,4 500,4 611,Yes,N,0
SS,Gunnar Henderson,L,R,80,79,75,109,96,89,73,81,79,108,101,90,78,Line Drive,Pull,Pull,1,24,1,72,1,1,27,1,79,1,1,-,1,1,2,81,79,84,86,60,60,65,138,-,103,95,88,81,69,42,64,61,83,56,62,No,82642,Diamond,4 556,0,4 300,No,N,0
SP,Jimmy Key,R,L,17,17,14,37,6,35,11,17,14,37,6,35,11,Normal,Normal,Normal,85,70,144,88,62,83,94,133,82,100,87,68,-,-,-,35,32,32,30,1,1,7,77,-,-,-,-,-,-,-,-,16,6,5,28,No,84077,Diamond,4 607,0,4 588,No,N,0
SS,Herman Long,L,R,61,67,90,109,88,97,124,58,77,75,104,85,100,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,8,-,-,-,105,81,94,89,10,4,10,-,-,-,-,-,103,-,-,-,76,87,90,101,No,82741,Diamond,4 113,0,4 084,No,N,0
SP,Cristopher Sanchez,L,L,34,34,30,32,11,38,26,34,30,32,11,38,26,Normal,Normal,Normal,92,93,101,73,103,80,83,94,67,92,73,67,2,2,1,28,21,49,14,15,20,34,61,-,53,-,-,-,2,-,-,21,6,10,47,No,82065,Diamond,9 118,8 005,11 490,No,N,0
CL,Kazuhiro Sasaki,R,R,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Normal,Normal,103,87,119,111,75,79,108,120,137,94,17,61,-,-,-,27,20,23,23,9,2,10,55,-,-,-,-,-,-,-,-,5,6,4,6,Yes,84813,Diamond,5 665,4 002,5 550,Yes,N,0
SP,Luis Tiant,L,L,1,1,24,1,1,62,35,1,27,1,1,63,38,Normal,Normal,Pull,111,99,90,103,97,95,85,87,85,85,71,60,1,1,1,29,32,28,25,45,56,56,70,-,-,-,-,-,49,-,-,16,6,4,28,No,84523,Diamond,11 035,10 000,18 666,Yes,N,0
SP,Brandon Woodruff,L,R,7,8,12,9,2,6,14,7,11,10,1,6,12,Normal,Normal,Normal,86,82,93,100,73,85,80,93,94,73,61,47,3,3,5,19,19,62,13,34,17,10,52,-,38,-,7,-,18,-,-,18,23,9,22,No,81948,Diamond,4 108,0,4 015,Yes,N,0
