Name,POS,VAL,Hand,PA,AVG,OBP,SLG,wOBA,BBpct,SOpct,HR600,BABIP,XBHpct,3B/XBH,wSB600,UBR600,WAR600
Honus Wagner,SS,68,R,669,.289,.340,.436,.348,7.5,10.4,16.1,.295,28.2,8.16,-0.3,0.6,3.7
Andruw Jones,LF,57,R,903,.278,.357,.405,.347,10.6,18.2,14.6,.314,23.5,9.62,0.0,1.7,3.1
Bill Keister,SS,72,L,493,.290,.331,.435,.344,5.3,7.6,9.7,.301,26.9,41.67,0.4,4.0,2.4
Julio Lugo,SS,73,R,1174,.289,.354,.388,.344,8.4,5.5,5.6,.297,22.5,18.84,-0.4,1.0,3.5
Ray Caldwell,P,64,L,321,.274,.340,.410,.341,9.0,13.2,9.3,.298,32.9,11.54,0.0,-3.9,1.7
Manny Machado,SS,74,R,529,.266,.328,.427,.340,7.9,11.4,20.4,.268,28.9,13.51,-1.1,0.2,3.4
Brett Butler,CF,64,L,476,.280,.352,.383,.339,10.3,9.8,5.0,.298,20.9,41.67,2.8,4.9,2.5
Leo Cardenas,SS,68,R,1169,.268,.344,.389,.338,10.4,15.7,7.2,.305,25.8,35.21,-0.3,0.0,3.1
Tim McCarver,C,68,L,489,.289,.334,.411,.337,6.7,8.4,11.0,.297,20.8,37.04,-3.2,-1.8,2.9
Juan Uribe,SS,66,R,387,.278,.315,.442,.335,4.4,18.3,6.2,.328,33.0,54.55,0.9,-0.5,3.9
Santiago Espinal,2B,55,R,3219,.287,.349,.365,.333,8.7,7.8,4.7,.301,20.8,2.33,-0.9,1.6,2.9
Luis Aparicio,SS,71,R,2547,.279,.345,.374,.333,9.0,4.6,6.6,.281,21.1,18.05,1.4,3.8,4.2
Carlos Beltran,CF,58,S,1132,.275,.312,.443,.333,4.8,16.5,17.5,.300,30.1,26.74,0.8,2.0,2.8
Broderick Perkins,1B,57,L,388,.269,.331,.399,.333,9.0,9.8,13.9,.272,26.9,8.00,0.0,-2.0,1.1
Roldy Brito,CF,69,S,1341,.267,.327,.404,.332,7.8,11.7,5.8,.292,31.1,40.00,0.5,6.2,2.6
Deion Sanders,CF,53,L,407,.261,.325,.409,.331,8.6,12.9,8.8,.283,31.6,40.00,0.1,3.5,2.1
Thayron Liranzo,C,65,S,431,.224,.329,.385,.330,13.7,15.6,20.9,.226,34.1,3.57,0.0,-1.1,2.4
Kevin Kiermaier,CF,67,L,1677,.269,.330,.391,.330,8.0,14.1,12.2,.291,23.0,23.66,0.3,3.1,3.0
Jefferson Rojas,SS,66,R,1372,.271,.321,.412,.329,7.0,8.9,12.7,.275,29.8,15.84,0.0,0.7,3.0
Bill Buckner,LF,64,L,435,.278,.314,.417,.328,4.6,4.7,13.8,.268,30.4,5.88,-0.8,4.0,1.8
Cristian Guzman,SS,71,S,603,.277,.301,.447,.328,3.5,12.3,13.9,.294,34.2,27.78,0.2,3.3,2.5
Marco Scutaro,2B,69,R,951,.300,.325,.398,.328,3.9,5.3,3.8,.308,23.9,17.46,-0.6,2.0,2.0
Harry Ford,C,74,R,416,.254,.346,.344,.327,12.3,13.1,8.7,.274,20.9,5.26,-1.0,0.3,2.6
