Rank,Name,Pos,Tier,BA,OBP,SLG,OPS,wOBA,K%,BB%,WAR/600,BestDefPos,Lock
29,David Ross,C,Gold,0.392,0.481,0.587,1.067,0.462,0.144,0.139,6.55,C,
30,Trea Turner,SS,Silver,0.383,0.45,0.611,1.061,0.458,0.135,0.101,6.55,SS,
31,Trea Turner,SS,Silver,0.383,0.45,0.611,1.061,0.458,0.135,0.101,6.55,SS,Y
32,Carson Williams,SS,Gold,0.348,0.437,0.594,1.032,0.444,0.199,0.129,6.52,SS,
33,Deacon White,3B,Silver,0.41,0.463,0.654,1.117,0.48,0.101,0.083,6.49,3B,Y
34,Kevin Alcantara,CF,Silver,0.373,0.452,0.624,1.075,0.462,0.172,0.119,6.48,CF,
35,Jay Bell,SS,Gold,0.391,0.469,0.578,1.046,0.454,0.148,0.12,6.47,SS,Y
36,Johnny Evers,2B,Diamond,0.404,0.483,0.575,1.058,0.46,0.095,0.125,6.46,2B,
37,Piper Davis,2B,Diamond,0.373,0.452,0.617,1.069,0.459,0.132,0.119,6.42,SS,Y
38,Emmet Heidrick,CF,Silver,0.387,0.436,0.623,1.058,0.455,0.118,0.072,6.42,CF,Y
39,Jackie Robinson,2B,Silver,0.377,0.448,0.633,1.081,0.463,0.118,0.106,6.39,2B,Y
40,Alejandro Oms,CF,Diamond,0.376,0.458,0.638,1.095,0.469,0.134,0.124,6.36,CF,Y
41,Pete Crow-Armstrong,CF,Diamond,0.372,0.438,0.622,1.061,0.455,0.156,0.097,6.31,CF,Y
42,Willard Brown,RF,Gold,0.373,0.433,0.635,1.069,0.458,0.134,0.089,6.3,SS,Y
43,Bill Dahlen,SS,Silver,0.361,0.432,0.601,1.032,0.445,0.144,0.102,6.28,SS,Y
44,Jackson Chourio,CF,Diamond,0.379,0.45,0.644,1.094,0.468,0.138,0.107,6.27,SS,Y
45,Ted Strong,SS,Diamond,0.375,0.464,0.61,1.074,0.463,0.144,0.135,6.25,SS,
46,Bonnie Serrell,2B,Diamond,0.393,0.456,0.632,1.088,0.468,0.123,0.097,6.24,2B,Y
47,Brice Turang,2B,Diamond,0.381,0.461,0.597,1.057,0.457,0.141,0.121,6.2,SS,
48,Michael Harris II,CF,Gold,0.387,0.446,0.637,1.083,0.465,0.133,0.088,6.2,CF,Y
49,Juan Pierre,CF,Silver,0.406,0.466,0.571,1.037,0.451,0.085,0.095,6.16,CF,Y
50,Dick Higham,RF,Gold,0.38,0.44,0.655,1.094,0.468,0.125,0.09,6.14,C,Y
51,Matty McIntyre,LF,Diamond,0.386,0.466,0.598,1.065,0.46,0.128,0.124,6.12,CF,Y
52,Avisail Garcia,RF,Silver,0.403,0.462,0.626,1.088,0.469,0.142,0.092,6.07,CF,
53,Marvin Williams,2B,Diamond,0.381,0.432,0.655,1.087,0.465,0.137,0.075,6.0,2B,Y
54,Frank Snyder,C,Gold,0.399,0.469,0.584,1.053,0.457,0.143,0.11,6.0,C,
55,Leroy Morney,SS,Gold,0.391,0.46,0.573,1.033,0.449,0.125,0.105,5.98,SS,Y
56,Cool Papa Bell,CF,Diamond,0.373,0.449,0.609,1.058,0.455,0.132,0.114,5.96,CF,Y
57,Wilbert Robinson,C,Silver,0.421,0.465,0.603,1.069,0.464,0.106,0.07,5.96,C,Y
58,George Harper,RF,Diamond,0.376,0.46,0.643,1.103,0.472,0.125,0.128,5.94,CF,
59,Felipe Lopez,SS,Bronze,0.369,0.443,0.614,1.057,0.454,0.155,0.11,5.92,SS,Y
60,Brandon Marsh,CF,Gold,0.398,0.467,0.622,1.089,0.469,0.16,0.108,5.87,CF,Y
61,Oneil Cruz,CF,Gold,0.359,0.434,0.596,1.03,0.444,0.185,0.11,5.87,SS,Y
62,Austin Jackson,CF,Iron,0.385,0.447,0.587,1.035,0.448,0.175,0.095,5.87,CF,Y
63,Luke Appling,SS,Gold,0.366,0.448,0.58,1.028,0.445,0.129,0.122,5.82,SS,Y
64,Ceddanne Rafaela,CF,Silver,0.376,0.436,0.612,1.048,0.451,0.141,0.089,5.82,SS,Y
65,Romy Gonzalez,1B,Bronze,0.385,0.445,0.617,1.062,0.457,0.15,0.09,5.82,SS,Y
66,Joe Morgan,2B,Diamond,0.365,0.458,0.598,1.055,0.455,0.121,0.138,5.81,2B,Y
67,Ketel Marte,SS,Bronze,0.402,0.477,0.573,1.05,0.456,0.125,0.118,5.8,SS,Y
68,Jack Smith,CF,Silver,0.369,0.438,0.594,1.032,0.445,0.153,0.101,5.79,CF,Y
69,Otto Lopez,SS,Silver,0.379,0.445,0.602,1.047,0.452,0.13,0.098,5.76,SS,Y
70,Zach Neto,SS,Silver,0.368,0.44,0.615,1.055,0.454,0.159,0.107,5.75,SS,Y
71,Bo Bichette,3B,Silver,0.391,0.454,0.619,1.072,0.462,0.13,0.096,5.73,SS,Y
72,Brian Harper,C,Gold,0.424,0.46,0.676,1.137,0.488,0.079,0.057,5.72,3B,Y
73,Maikel Garcia,3B,Silver,0.365,0.44,0.589,1.029,0.444,0.133,0.112,5.7,SS,Y
74,Ezequiel Tovar,SS,Silver,0.369,0.43,0.604,1.034,0.446,0.154,0.091,5.7,SS,Y
75,Gunnar Henderson,SS,Diamond,0.347,0.428,0.612,1.04,0.446,0.157,0.117,5.68,SS,
76,Nick Gonzales,2B,Bronze,0.394,0.457,0.611,1.067,0.461,0.137,0.096,5.67,SS,Y
77,Edouard Julien,2B,Diamond,0.379,0.476,0.628,1.104,0.474,0.153,0.149,5.64,2B,Y
78,Xavier Edwards,2B,Silver,0.391,0.464,0.576,1.039,0.451,0.122,0.114,5.63,SS,Y
79,Tony Lazzeri,2B,Gold,0.35,0.431,0.58,1.011,0.437,0.21,0.118,5.61,SS,Y
80,Gabriel Moreno,C,Gold,0.38,0.453,0.592,1.044,0.451,0.135,0.11,5.61,C,Y
81,Howard Easterling,SS,Silver,0.362,0.432,0.582,1.014,0.438,0.128,0.103,5.61,SS,Y
82,Kevin Youkilis,1B,Diamond,0.371,0.467,0.621,1.088,0.468,0.163,0.145,5.56,3B,
83,Travis Jackson,SS,Diamond,0.333,0.419,0.576,0.995,0.43,0.169,0.121,5.53,SS,
84,Bug Holliday,LF,Gold,0.383,0.447,0.63,1.077,0.463,0.123,0.096,5.53,CF,Y
85,Bobby Wallace,3B,Silver,0.363,0.437,0.623,1.06,0.454,0.135,0.109,5.53,SS,Y
86,Hal Chase,1B,Bronze,0.406,0.448,0.618,1.067,0.46,0.136,0.063,5.52,2B,Y
87,Clyde Sukeforth,C,Silver,0.414,0.474,0.574,1.048,0.456,0.103,0.096,5.5,C,Y
88,Herman Long,SS,Diamond,0.317,0.403,0.579,0.981,0.423,0.13,0.116,5.49,SS,
89,Johnny Hayes,C,Gold,0.369,0.467,0.559,1.027,0.447,0.117,0.147,5.49,C,Y
90,Dylan Beavers,RF,Gold,0.355,0.445,0.61,1.056,0.453,0.128,0.132,5.48,CF,
91,Masyn Winn,SS,Gold,0.363,0.435,0.578,1.013,0.438,0.137,0.105,5.48,SS,Y
92,Richie Ashburn,CF,Gold,0.389,0.484,0.549,1.033,0.452,0.113,0.148,5.46,CF,Y
93,Jules Thomas,CF,Gold,0.36,0.423,0.621,1.044,0.448,0.14,0.091,5.44,CF,Y
94,Willi Castro,2B,Silver,0.371,0.441,0.597,1.039,0.448,0.156,0.104,5.36,SS,Y
95,Kevin McGonigle,SS,Gold,0.364,0.442,0.602,1.044,0.45,0.137,0.115,5.35,SS,Y
96,Sammy Hale,3B,Silver,0.389,0.436,0.61,1.046,0.451,0.14,0.07,5.35,3B,Y
97,Casey Candaele,2B,Silver,0.36,0.437,0.552,0.989,0.43,0.146,0.112,5.33,SS,Y
98,Tom Daly,C,Silver,0.347,0.434,0.547,0.981,0.427,0.152,0.126,5.28,C,Y
99,Jake McCarthy,LF,Silver,0.381,0.448,0.592,1.04,0.449,0.132,0.102,5.28,CF,Y
100,Fernando Tatis Jr.,RF,Diamond,0.367,0.447,0.583,1.031,0.446,0.146,0.119,5.27,SS,Y
101,Clint Thomas,CF,Gold,0.341,0.423,0.599,1.021,0.439,0.145,0.115,5.27,CF,Y
102,Jared Triolo,SS,Silver,0.364,0.445,0.577,1.022,0.442,0.147,0.119,5.27,SS,Y
103,Bryce Harper,1B,Diamond,0.373,0.453,0.627,1.08,0.464,0.144,0.119,5.26,CF,Y
104,Esteury Ruiz,LF,Silver,0.359,0.435,0.59,1.026,0.442,0.148,0.112,5.26,SS,Y
105,Konnor Griffin,SS,Silver,0.352,0.426,0.583,1.009,0.436,0.164,0.107,5.25,SS,Y
106,Konnor Griffin,SS,Silver,0.352,0.426,0.583,1.009,0.436,0.164,0.107,5.25,SS,
107,Andy Pages,CF,Gold,0.377,0.442,0.623,1.065,0.458,0.145,0.099,5.24,CF,Y
108,Tom Tresh,SS,Silver,0.363,0.439,0.589,1.028,0.444,0.131,0.112,5.24,SS,Y
109,Farmer Weaver,C,Silver,0.358,0.422,0.594,1.016,0.437,0.103,0.092,5.23,C,Y
110,Brenton Doyle,CF,Silver,0.364,0.432,0.589,1.02,0.441,0.164,0.1,5.23,CF,Y
111,George Van Haltren,CF,Diamond,0.358,0.436,0.602,1.039,0.447,0.128,0.116,5.21,CF,Y
112,Jackie Bradley Jr.,CF,Bronze,0.336,0.414,0.558,0.971,0.42,0.176,0.109,5.14,CF,Y
113,Gavin Lux,LF,Silver,0.378,0.457,0.586,1.043,0.452,0.143,0.12,5.11,SS,Y
114,Xander Bogaerts,SS,Silver,0.365,0.44,0.573,1.012,0.439,0.136,0.11,5.11,SS,Y
115,Edgar Martinez,DH,Gold,0.371,0.464,0.604,1.068,0.461,0.141,0.14,5.1,,
116,Jeremy Pena,SS,Silver,0.368,0.433,0.584,1.017,0.44,0.136,0.095,5.09,SS,Y
117,William Contreras,C,Diamond,0.373,0.452,0.602,1.055,0.455,0.135,0.119,5.06,C,
118,Heinie Groh,3B,Diamond,0.375,0.455,0.563,1.018,0.442,0.105,0.121,5.05,2B,
119,James Wood,RF,Diamond,0.37,0.455,0.619,1.074,0.461,0.178,0.126,5.04,CF,
120,Zack Gelof,2B,Silver,0.358,0.436,0.583,1.019,0.44,0.18,0.113,5.04,SS,Y
121,Francisco Lindor,SS,Gold,0.348,0.425,0.582,1.008,0.435,0.141,0.112,5.03,SS,Y
122,Trevor Story,SS,Iron,0.364,0.426,0.586,1.012,0.437,0.165,0.09,5.03,SS,Y
123,Leody Taveras,CF,Silver,0.366,0.437,0.59,1.027,0.444,0.141,0.105,5.02,CF,Y
124,Ezequiel Duran,SS,Bronze,0.365,0.43,0.58,1.01,0.437,0.147,0.095,5.02,SS,Y
125,Lou Brock,CF,Iron,0.362,0.429,0.589,1.018,0.439,0.165,0.098,5.01,CF,Y
126,Casey Schmitt,2B,Silver,0.369,0.435,0.604,1.039,0.448,0.146,0.098,5.0,SS,Y
127,Stephen Drew,SS,Silver,0.355,0.433,0.576,1.01,0.437,0.147,0.113,4.99,SS,
128,Hunter Goodman,C,Gold,0.377,0.443,0.638,1.08,0.464,0.164,0.097,4.96,C,Y
129,Sammy Hughes,2B,Silver,0.361,0.435,0.568,1.003,0.435,0.131,0.108,4.95,SS,Y
130,Jeff McNeil,2B,Silver,0.367,0.44,0.593,1.033,0.446,0.126,0.108,4.95,SS,Y
131,Spike Owen,3B,Gold,0.363,0.456,0.552,1.009,0.439,0.094,0.14,4.94,SS,Y
132,Keston Hiura,1B,Silver,0.375,0.444,0.607,1.051,0.454,0.172,0.104,4.93,SS,Y
133,Wyatt Langford,LF,Diamond,0.362,0.441,0.603,1.044,0.45,0.147,0.116,4.92,CF,Y
134,Walter Cannady,2B,Gold,0.338,0.411,0.563,0.975,0.421,0.133,0.102,4.92,SS,Y
135,Jazz Chisholm Jr.,2B,Gold,0.336,0.418,0.575,0.993,0.429,0.162,0.117,4.91,SS,Y
136,Jackson Merrill,CF,Gold,0.356,0.426,0.605,1.032,0.443,0.142,0.102,4.91,SS,Y
137,CJ Abrams,SS,Bronze,0.345,0.415,0.585,1.001,0.431,0.141,0.098,4.91,SS,Y
138,Jacob Wilson,SS,Bronze,0.375,0.432,0.598,1.03,0.444,0.112,0.084,4.91,SS,Y
139,Randy Arozarena,LF,Silver,0.364,0.442,0.589,1.031,0.445,0.162,0.116,4.9,SS,Y
140,Ryan Ritter,SS,Bronze,0.354,0.43,0.574,1.004,0.434,0.18,0.109,4.89,SS,Y
141,Mookie Betts,SS,Diamond,0.335,0.421,0.583,1.003,0.432,0.137,0.121,4.88,SS,Y
142,Randy Arozarena,LF,Diamond,0.357,0.45,0.611,1.061,0.455,0.154,0.136,4.88,LF,
143,Nick Solak,1B,Silver,0.381,0.448,0.595,1.044,0.451,0.129,0.103,4.87,SS,Y
144,Tyler Fitzgerald,2B,Bronze,0.361,0.43,0.579,1.008,0.436,0.169,0.1,4.87,SS,Y
145,Ray Lankford,CF,Gold,0.333,0.43,0.599,1.029,0.442,0.178,0.137,4.86,CF,Y
146,Nelson Cruz,RF,Diamond,0.409,0.481,0.667,1.149,0.492,0.153,0.117,4.85,LF,
147,Brendan Donovan,2B,Gold,0.37,0.446,0.59,1.035,0.448,0.13,0.113,4.85,SS,Y
148,Carlos Correa,SS,Silver,0.367,0.442,0.587,1.029,0.444,0.142,0.111,4.84,SS,Y
149,Dillon Dingler,C,Silver,0.346,0.418,0.58,0.997,0.431,0.156,0.101,4.84,C,Y
150,Owen Miller,2B,Silver,0.373,0.437,0.589,1.026,0.444,0.132,0.097,4.84,SS,Y
151,Derek Jeter,SS,Bronze,0.377,0.443,0.555,0.998,0.434,0.146,0.099,4.83,SS,Y
152,Pete Hill,CF,Gold,0.349,0.436,0.57,1.006,0.435,0.135,0.124,4.82,CF,
153,Patrick Bailey,C,Silver,0.325,0.402,0.52,0.922,0.402,0.163,0.106,4.81,C,Y
154,Charlie Comiskey,1B,Silver,0.361,0.414,0.595,1.009,0.434,0.096,0.075,4.81,2B,Y
155,Prince Fielder,1B,Diamond,0.411,0.494,0.701,1.195,0.508,0.144,0.134,4.8,1B,
156,Josh Donaldson,3B,Diamond,0.342,0.435,0.597,1.033,0.445,0.15,0.134,4.8,3B,
157,Chick Stahl,CF,Silver,0.364,0.436,0.587,1.022,0.441,0.114,0.105,4.8,CF,Y
158,Edmundo Sosa,2B,Bronze,0.363,0.419,0.593,1.012,0.437,0.148,0.08,4.8,SS,Y
159,Garret Anderson,LF,Bronze,0.379,0.423,0.556,0.978,0.424,0.112,0.063,4.8,CF,
160,Jordan Beck,LF,Silver,0.362,0.436,0.594,1.03,0.444,0.161,0.109,4.79,SS,Y
161,Braggo Roth,RF,Bronze,0.36,0.436,0.581,1.016,0.439,0.154,0.11,4.79,CF,Y
162,Noelvi Marte,RF,Silver,0.361,0.43,0.583,1.013,0.438,0.146,0.102,4.78,SS,Y
163,Josh Jung,3B,Bronze,0.371,0.437,0.594,1.03,0.445,0.151,0.097,4.77,SS,Y
164,Jim Doyle,3B,Iron,0.347,0.419,0.552,0.97,0.421,0.156,0.102,4.77,3B,Y
165,Adrian Beltre,3B,Silver,0.338,0.41,0.58,0.99,0.427,0.146,0.101,4.76,3B,
166,Dick Hoblitzel,1B,Silver,0.366,0.435,0.597,1.032,0.445,0.109,0.103,4.76,2B,Y
167,Eli White,RF,Iron,0.361,0.427,0.571,0.998,0.432,0.165,0.097,4.76,SS,Y
168,Bullet Rogan,CF,Gold,0.354,0.436,0.588,1.024,0.442,0.135,0.12,4.75,CF,Y
169,Lou Whitaker,2B,Silver,0.369,0.45,0.523,0.973,0.426,0.139,0.122,4.73,2B,Y
170,Maury Wills,SS,Silver,0.371,0.431,0.462,0.893,0.395,0.108,0.089,4.72,SS,Y
171,Frankie Frisch,2B,Silver,0.376,0.441,0.564,1.005,0.436,0.087,0.096,4.72,2B,Y
172,Garrett Mitchell,CF,Bronze,0.36,0.44,0.551,0.992,0.432,0.196,0.117,4.72,CF,Y
173,Aaron Boone,3B,Iron,0.341,0.399,0.567,0.965,0.417,0.144,0.08,4.72,SS,
174,Harry Bemis,C,Silver,0.355,0.428,0.571,1.0,0.433,0.123,0.106,4.69,C,Y
175,Dustin Pedroia,2B,Bronze,0.348,0.42,0.592,1.011,0.435,0.104,0.103,4.69,2B,Y
176,Yandy Diaz,1B,Diamond,0.398,0.47,0.621,1.09,0.47,0.125,0.113,4.68,CF,Y
177,Parker Meadows,CF,Silver,0.341,0.421,0.568,0.99,0.428,0.158,0.114,4.68,CF,Y
178,Zach McKinstry,3B,Silver,0.346,0.423,0.574,0.996,0.43,0.149,0.108,4.68,SS,Y
179,Justin Crawford,CF,Bronze,0.358,0.433,0.564,0.997,0.432,0.147,0.111,4.68,CF,Y
180,Brian Dozier,2B,Gold,0.319,0.401,0.607,1.008,0.431,0.146,0.111,4.67,2B,
181,Fats Jenkins,LF,Gold,0.371,0.453,0.577,1.031,0.447,0.131,0.123,4.67,CF,Y
182,Judy Johnson,3B,Silver,0.33,0.402,0.566,0.968,0.418,0.136,0.099,4.67,SS,Y
183,Wilyer Abreu,RF,Gold,0.361,0.439,0.597,1.036,0.447,0.155,0.116,4.65,CF,Y
184,Don Blasingame,2B,Silver,0.343,0.419,0.515,0.934,0.408,0.112,0.108,4.64,SS,Y
185,Arky Vaughan,LF,Silver,0.377,0.454,0.555,1.01,0.439,0.163,0.118,4.63,SS,
186,Jung-hoo Lee,RF,Bronze,0.356,0.427,0.584,1.011,0.436,0.125,0.103,4.63,SS,Y
187,Smoky Joe Wood,LF,Gold,0.36,0.432,0.621,1.053,0.452,0.14,0.104,4.62,2B,Y
188,Spencer Horwitz,1B,Gold,0.376,0.456,0.599,1.055,0.455,0.136,0.121,4.61,SS,
189,Jose Altuve,2B,Silver,0.36,0.434,0.589,1.023,0.442,0.139,0.109,4.61,SS,Y
190,Mitchell Murray,C,Gold,0.341,0.421,0.577,0.999,0.432,0.147,0.113,4.59,C,Y
191,Otto Schomberg,1B,Gold,0.375,0.46,0.612,1.072,0.462,0.135,0.129,4.59,RF,Y
192,Bob Fisher,2B,Silver,0.355,0.419,0.595,1.014,0.437,0.132,0.093,4.59,SS,Y
193,Jim O'Rourke,CF,Silver,0.332,0.4,0.624,1.024,0.437,0.145,0.093,4.58,CF,Y
194,Andres Gimenez,SS,Bronze,0.35,0.415,0.567,0.981,0.425,0.137,0.092,4.58,SS,Y
195,Luis Torrens,C,Bronze,0.359,0.426,0.569,0.996,0.431,0.145,0.098,4.58,C,Y
196,Tony Fernandez,2B,Bronze,0.345,0.405,0.564,0.969,0.419,0.119,0.084,4.58,SS,Y
197,Glenn Wright,SS,Bronze,0.349,0.409,0.58,0.988,0.427,0.16,0.085,4.58,SS,Y
198,Luis Arraez,2B,Silver,0.396,0.454,0.575,1.029,0.447,0.091,0.09,4.57,SS,Y
199,J.T. Realmuto,C,Bronze,0.369,0.438,0.596,1.034,0.446,0.152,0.101,4.57,C,Y
200,Sam Haggerty,LF,Bronze,0.361,0.432,0.553,0.985,0.428,0.145,0.103,4.57,SS,Y
