POS,Name,B,T,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,SPE,STE,SR,RUN,ACT,CVAL,REL,L10,BUY,VAR
RF,Al Kaline,Right,Right,141,152,69,72,162,103,124,81,79,130,1,1,1,5,1,1,1,5,1,-,-,-,61,58,61,53,113,99,63,122,112,116,58,113,No,99,05/28/2026,8 797,4 001,N
2B,Nap Lajoie,Right,Right,134,141,4,101,144,97,119,72,64,145,1,1,1,2,1,1,1,2,1,-,-,-,108,79,83,110,10,6,2,127,69,78,70,72,No,99,03/13/2026,8 738,4 500,N
RP,Jose Leclerc,Right,Right,1,1,1,1,1,1,1,1,1,1,102,22,141,130,130,71,150,119,12,-,-,-,27,39,29,23,3,7,3,75,13,6,4,22,No,99,03/13/2026,5 842,0,N
RP,Jake McGee,Left,Left,1,3,1,3,1,1,3,1,3,1,133,150,44,90,144,82,150,135,12,-,-,-,25,20,22,23,4,9,9,52,5,6,5,5,No,99,09/03/2026,21 280,19 126,N
RP,Cla Meredith,Right,Right,5,3,1,3,1,11,3,1,3,1,50,108,84,124,92,152,175,116,20,-,-,-,27,20,23,23,7,6,2,54,12,6,5,19,No,99,04/29/2026,16 104,6 000,N
RP,Andrew Miller,Left,Left,1,3,1,3,1,1,4,1,3,2,140,132,124,62,143,110,122,95,13,-,-,-,23,20,22,23,2,5,6,50,5,6,4,5,No,99,07/30/2026,61 334,45 001,N
CF,Alejandro Oms,Left,Left,78,89,92,94,86,94,98,95,101,96,13,34,23,20,13,34,35,20,52,-,-,-,53,22,47,20,88,71,69,84,73,77,65,63,No,99,03/13/2026,6 389,4 001,N
LF,Wilson Redus,Right,Right,108,123,122,51,96,104,117,125,55,103,1,1,19,5,1,1,19,5,1,53,53,53,57,61,32,62,74,76,59,86,58,64,39,53,No,99,03/13/2026,6 436,4 002,N
SS,Phil Rizzuto,Right,Right,138,118,33,144,198,115,113,48,150,183,1,1,1,2,1,1,1,2,1,-,-,-,120,121,102,114,9,9,4,137,62,63,53,108,No,99,08/19/2026,102 580,28 888,N
3B,Mike Schmidt,Right,Right,108,86,180,165,68,60,139,145,156,73,1,1,1,1,1,1,1,1,1,-,-,-,109,66,117,47,5,7,7,109,68,73,63,55,No,99,07/16/2026,31 010,15 000,N
3B,Gary Sheffield,Right,Right,106,77,122,74,155,81,111,109,70,142,1,1,1,7,1,1,1,7,1,-,-,-,59,79,83,66,6,6,4,76,62,39,45,84,No,99,03/13/2026,5 535,0,N
1B,Norm Siebern,Left,Right,91,69,77,100,77,96,75,111,131,90,1,1,1,7,1,1,1,7,1,-,-,-,62,74,61,58,67,70,50,95,37,13,8,42,No,99,03/13/2026,5 409,0,N
LF,Al Simmons,Right,Right,155,138,129,85,169,137,125,117,58,120,1,1,1,1,1,1,1,1,1,-,-,-,9,4,7,1,69,112,69,90,61,75,34,89,No,99,07/02/2026,13 225,9 600,N
C,Ted Simmons,Switch,Right,81,56,119,124,126,89,84,92,88,135,1,1,1,4,1,1,1,4,1,69,57,61,47,45,42,56,45,53,41,59,36,17,31,33,No,99,03/13/2026,6 222,5 000,N
RP,Kent Tekulve,Right,Right,7,28,4,36,6,15,28,4,38,14,38,23,40,160,104,134,138,121,59,-,-,-,35,21,24,17,4,8,5,64,16,6,5,28,No,99,03/13/2026,6 133,4 501,N
SP,Payton Tolle,Left,Left,65,71,82,76,54,64,79,89,78,59,134,114,93,101,118,109,86,97,70,-,-,-,21,23,26,20,55,50,58,51,10,20,24,23,No,99,04/24/2026,8 313,6 500,N
SS,Honus Wagner,Right,Right,102,120,100,72,178,127,117,86,81,161,1,1,1,4,1,1,1,4,1,-,-,-,109,86,96,105,81,120,85,113,93,94,88,96,No,99,05/26/2026,14 206,7 001,N
1B,Hank Aaron,Right,Right,59,69,140,92,118,97,97,133,104,105,1,1,1,1,1,1,1,1,1,-,-,-,40,23,34,31,44,90,44,53,34,11,9,48,No,98,04/30/2026,5 459,0,N
SP,Babe Adams,Left,Right,16,37,2,31,10,31,33,2,35,22,41,151,48,145,52,134,93,129,83,-,-,-,35,51,36,23,9,6,1,87,29,58,21,18,No,98,03/13/2026,5 451,0,N
SS,John Beckwith,Right,Right,123,120,92,80,96,118,114,85,93,107,42,55,61,50,41,55,57,49,24,59,61,69,93,65,91,78,74,60,72,84,56,42,39,61,No,98,03/13/2026,5 605,4 401,N
RF,Mookie Betts,Right,Right,51,138,122,60,145,120,140,85,75,133,1,1,1,1,1,1,1,1,1,-,-,-,84,43,92,69,117,117,113,151,86,112,78,116,No,98,08/06/2026,7 228,5 500,N
LF,Yoenis Cespedes,Right,Right,140,132,126,52,82,134,136,120,49,85,1,1,1,5,1,1,1,5,1,-,-,-,10,6,10,7,94,82,103,126,102,8,7,106,No,98,03/19/2026,24 919,0,Y
LF,Yoenis Cespedes,Right,Right,130,122,117,47,75,124,126,111,44,78,1,1,1,3,1,1,1,3,1,-,-,-,10,6,10,7,94,82,103,118,102,8,7,106,No,98,03/19/2026,5 850,0,N
CF,Max Clark,Left,Left,102,94,69,99,92,126,101,76,121,102,1,1,75,1,1,1,75,1,3,2,2,3,6,26,16,4,101,72,96,107,112,105,82,75,No,98,04/09/2026,6 481,0,N
2B,Eddie Collins,Left,Right,98,71,17,89,155,128,103,50,92,167,1,1,1,2,1,1,1,2,1,-,-,-,101,82,56,101,5,10,8,117,69,76,56,74,No,98,03/13/2026,8 738,4 500,N
1B,Carlos Delgado,Left,Right,145,147,99,103,75,128,131,133,155,96,1,1,1,1,1,1,1,1,1,33,28,22,27,26,28,33,8,8,3,49,4,6,5,12,No,98,07/01/2026,9 608,5 001,N
2B,Larry Doby,Left,Right,126,113,101,90,66,130,141,107,86,75,1,1,19,4,1,1,19,4,1,-,-,-,83,55,68,82,50,56,52,87,62,64,21,49,No,98,04/16/2026,9 668,4 300,N
RP,Mark Eichhorn,Right,Right,11,10,6,13,6,11,10,6,13,6,77,61,81,80,143,122,106,139,24,-,-,-,35,13,20,13,2,4,5,55,16,6,4,28,No,98,03/13/2026,5 396,4 001,N
SS,Colt Emerson,Left,Right,107,114,77,110,85,120,122,95,122,91,1,3,76,1,1,3,77,1,7,32,37,35,101,69,89,90,69,72,69,94,81,98,72,101,No,98,05/23/2026,11 135,6 700,N
SS,Colt Emerson,Left,Right,116,123,84,119,92,130,132,103,132,99,1,5,83,1,1,5,84,1,7,32,37,35,101,69,89,90,69,72,69,101,81,98,72,101,No,98,05/23/2026,97 189,0,Y
SP,Doug Fister,Left,Right,2,4,1,3,1,2,5,1,3,2,69,121,136,128,67,133,115,140,80,-,-,-,28,23,28,34,5,2,10,60,5,6,4,5,No,98,07/28/2026,64 436,69 000,N
RP,Joe Grzenda,Right,Left,2,3,1,3,1,2,3,1,3,1,119,150,105,150,88,65,92,128,62,-,-,-,30,20,24,23,1,5,9,59,7,6,4,10,No,98,03/13/2026,13 724,0,N
1B,Ted Kluszewski,Left,Left,64,81,118,52,115,83,50,127,79,120,1,1,1,3,1,1,2,3,1,-,-,-,22,66,39,81,7,9,1,59,9,66,18,25,No,98,03/13/2026,5 978,4 826,N
CF,Willie Mays,Right,Right,98,191,158,174,124,98,120,135,114,111,1,1,1,4,1,1,1,4,1,-,-,-,2,2,5,8,104,106,55,107,118,112,92,120,No,98,08/20/2026,90 600,80 000,N
LF,Tyler O'Neill,Right,Right,119,98,133,103,78,132,72,131,58,69,1,1,1,1,1,1,1,1,1,-,-,-,9,3,5,2,97,97,97,123,107,89,64,111,No,98,03/27/2026,4 416,0,N
RP,Evan Phillips,Right,Right,1,3,1,3,1,1,3,1,3,1,95,110,99,115,119,82,109,104,10,-,-,-,27,50,33,23,6,8,3,81,5,6,3,6,No,98,03/13/2026,6 553,0,N
3B,Aramis Ramirez,Right,Right,103,151,130,38,110,88,139,85,69,115,1,1,1,4,1,1,1,4,1,-,-,-,89,85,89,33,2,4,3,91,37,67,16,41,No,98,03/13/2026,6 520,0,N
SS,Jose Reyes,Switch,Right,125,100,87,122,155,125,138,69,91,170,1,1,1,1,1,1,1,1,1,-,-,-,106,82,86,92,7,3,3,102,117,115,114,114,No,98,07/23/2026,28 710,28 000,N
SS,Alex Rodriguez,Right,Right,91,69,133,92,70,95,84,126,111,88,1,1,1,1,1,1,1,1,1,-,-,-,72,76,89,91,7,9,7,76,89,96,47,82,No,98,03/13/2026,7 589,4 001,N
RP,Joe Sambito,Left,Left,18,40,4,62,17,18,42,5,64,19,144,94,42,140,116,96,125,115,24,-,-,-,35,20,26,23,4,3,8,65,16,6,4,28,No,98,06/25/2026,10 600,5 001,N
LF,Lonnie Smith,Right,Right,147,120,100,155,90,150,110,108,143,77,1,1,1,5,1,1,1,5,1,-,-,-,2,5,6,2,114,123,35,133,98,89,74,91,No,98,08/27/2026,14 874,7 890,N
SS,Trea Turner,Right,Right,99,86,127,84,119,93,87,140,91,110,1,1,1,7,1,1,1,7,1,-,-,-,94,105,75,92,4,3,2,106,120,55,50,121,No,98,03/19/2026,26 906,0,Y
RP,Jonny Venters,Left,Left,1,3,1,3,1,1,3,1,3,1,160,84,148,148,100,48,114,166,18,-,-,-,32,20,25,23,2,8,9,61,6,6,5,7,No,98,07/09/2026,18 387,6 888,N
CL,Duane Ward,Right,Right,1,3,1,3,1,1,3,1,3,1,142,56,62,111,150,130,111,110,14,-,-,-,29,20,24,23,8,1,3,57,5,6,5,5,No,98,07/25/2026,16 683,16 500,N
C,Ed Bailey,Left,Right,52,53,77,109,55,96,42,203,148,119,1,1,1,4,1,1,1,4,1,96,98,91,3,5,10,3,7,10,1,112,26,16,7,8,No,97,08/20/2026,53 168,0,Y
2B,Piper Davis,Right,Right,89,85,81,92,95,89,86,81,92,95,1,1,19,5,1,1,20,5,1,53,53,53,95,66,59,91,55,62,68,104,72,64,49,55,No,97,03/13/2026,5 385,4 311,N
1B,Bryce Eldridge,Left,Right,95,80,104,104,69,101,97,122,111,84,72,41,74,71,76,49,93,74,76,1,1,1,56,51,56,39,52,50,76,105,24,11,7,25,No,97,03/20/2026,5 970,0,N
SP,Dutch Leonard,Right,Right,35,30,4,28,31,20,46,4,33,31,88,125,69,115,89,137,88,117,92,-,-,-,35,30,29,24,5,3,8,75,10,6,3,15,No,97,06/11/2026,15 959,9 000,N
2B,Joe Morgan,Left,Right,108,77,43,130,85,77,78,86,118,121,1,1,1,2,1,1,1,2,1,-,-,-,74,42,63,79,10,9,5,73,93,75,62,87,No,97,03/13/2026,5 478,0,N
SP,Barney Morris,Left,Right,18,35,1,51,57,19,37,2,56,61,98,87,79,91,98,87,82,91,73,1,1,1,48,33,29,41,1,1,5,86,16,6,5,28,No,97,03/13/2026,6 173,4 101,N
SP,Jesse Petty,Right,Left,13,41,2,24,11,11,44,3,19,11,99,93,128,103,84,76,131,109,86,-,-,-,25,13,20,23,5,9,5,45,49,58,45,46,No,97,04/09/2026,4 406,0,N
SP,Babe Ruth,Left,Left,133,94,10,71,37,81,101,133,82,67,130,48,92,160,88,90,145,160,104,-,-,-,27,42,30,23,6,5,6,77,39,6,15,27,No,97,08/05/2026,79 542,30 000,N
SP,Sonny Siebert,Right,Right,4,60,33,21,34,9,39,31,30,19,100,85,53,96,108,73,116,98,76,-,-,-,35,22,29,31,6,4,10,68,11,6,3,18,No,97,03/13/2026,5 415,0,N
CL,John Smoltz,Right,Right,10,50,10,33,28,14,33,5,36,14,93,92,84,129,88,77,121,97,18,-,-,-,26,30,27,25,4,9,8,64,7,6,3,9,No,97,05/21/2026,7 016,4 002,N
3B,Sal Stewart,Right,Right,108,98,114,112,112,93,98,108,101,103,1,4,76,1,1,5,77,1,7,3,3,2,45,61,72,44,50,53,64,52,34,94,41,35,No,97,04/02/2026,6 461,4 001,N
RF,Darryl Strawberry,Left,Left,54,90,152,87,52,108,121,148,163,74,1,1,1,5,1,1,1,5,1,-,-,-,9,1,10,5,69,59,61,70,85,96,90,103,No,97,07/16/2026,22 520,11 005,N
2B,Robby Thompson,Right,Right,143,92,86,84,88,121,90,95,78,79,1,1,1,3,1,1,1,3,1,-,-,-,110,105,76,112,6,2,1,138,59,70,52,95,No,97,05/21/2026,6 152,0,N
SP,Dizzy Trout,Right,Right,100,69,82,128,51,129,57,124,61,35,85,77,49,135,96,91,136,117,104,-,-,-,35,15,31,43,3,5,3,64,53,67,42,59,No,97,06/18/2026,12 275,4 667,N
SP,Thomas White,Left,Left,21,33,1,26,24,21,33,1,26,24,140,72,150,142,144,64,133,131,69,2,2,2,17,19,65,6,13,16,33,50,13,13,15,12,No,97,08/13/2026,23 816,18 000,N
SP,Trey Yesavage,Right,Right,21,12,8,14,22,17,12,8,14,22,147,70,114,123,142,71,91,123,69,1,1,1,25,27,28,29,55,41,49,66,23,15,27,23,No,97,05/01/2026,47 213,0,Y
RP,Jose Alvarado,Left,Left,6,3,1,3,1,7,3,1,3,2,116,50,95,123,121,52,99,150,16,-,-,-,27,20,23,23,9,5,7,55,10,6,4,15,No,96,05/21/2026,9 006,4 003,N
3B,Ken Boyer,Right,Right,140,138,69,116,84,112,85,118,88,85,1,1,1,8,1,1,1,8,1,-,-,-,104,46,115,39,1,4,4,96,74,47,25,117,No,96,05/28/2026,7 902,0,N
C,Jim Brown,Switch,Right,85,118,91,102,91,86,122,84,104,93,1,1,19,1,1,1,24,2,10,78,82,84,33,36,34,35,75,62,62,85,67,77,65,63,No,96,03/13/2026,5 805,4 002,N
SP,Steve Carlton,Left,Left,31,61,30,51,13,35,77,32,33,26,127,70,89,131,135,74,95,105,86,-,-,-,29,24,25,22,4,1,10,61,5,6,5,5,No,96,04/23/2026,5 592,0,N
SP,Steve Carlton,Left,Left,35,67,34,56,16,39,84,36,37,30,137,76,97,141,145,81,103,114,86,-,-,-,29,24,25,22,4,1,10,66,5,6,5,5,No,96,04/23/2026,46 165,0,Y
LF,Rocky Colavito,Right,Right,38,32,132,175,118,72,92,140,167,99,1,1,1,3,1,1,1,3,1,-,-,-,10,9,6,2,55,71,84,70,16,9,14,23,No,96,05/07/2026,10 026,0,N
CF,Dom DiMaggio,Right,Right,76,107,88,89,97,71,91,90,84,96,1,1,1,3,1,1,1,3,1,-,-,-,8,8,8,1,101,84,110,111,66,71,71,71,No,96,03/13/2026,5 676,0,N
SP,Pete Donohue,Right,Right,54,61,32,31,85,34,41,41,39,73,48,136,122,142,74,158,56,154,73,-,-,-,29,18,23,21,3,10,8,55,51,35,59,48,No,96,03/13/2026,6 371,4 541,N
SP,Connelly Early,Left,Left,18,15,4,20,22,18,15,4,20,22,89,103,90,114,89,105,82,113,75,1,1,1,12,19,10,8,4,4,4,30,14,19,12,9,No,96,03/27/2026,6 366,0,N
SS,Tony Fernandez,Switch,Right,105,97,48,104,119,133,115,60,77,133,1,1,1,2,1,1,1,2,1,-,-,-,115,113,89,95,4,1,6,122,108,109,104,112,No,96,06/25/2026,9 912,6 000,N
2B,Nellie Fox,Left,Right,92,71,24,74,193,95,78,45,86,188,1,1,1,4,1,1,1,4,1,-,-,-,108,79,72,107,7,9,10,126,83,49,54,104,No,96,03/13/2026,5 352,0,N
SP,Lefty Gomez,Left,Left,16,12,4,43,8,16,24,4,48,16,115,66,86,111,111,50,89,115,93,-,-,-,27,26,25,23,3,9,8,61,5,6,4,6,No,96,03/13/2026,6 116,0,N
SP,Rats Henderson,Right,Right,24,59,3,60,37,24,58,3,60,37,97,87,86,89,95,96,83,101,72,1,1,1,29,24,26,25,45,56,56,62,8,6,5,28,No,96,03/13/2026,6 484,5 060,N
SS,Charlie Hollocher,Left,Right,133,84,8,64,165,118,96,51,85,177,1,1,1,3,1,1,1,3,1,-,-,-,93,106,81,90,9,1,6,100,84,67,86,95,No,96,03/13/2026,5 156,0,N
1B,Johnny Hopp,Left,Left,91,90,54,70,91,92,106,88,94,144,1,1,1,1,1,1,1,1,1,-,-,-,35,37,34,31,76,73,47,49,70,56,46,91,No,96,03/13/2026,5 002,0,N
CF,Cedric Mullins,Left,Left,111,74,78,69,110,123,109,124,92,110,1,1,1,5,1,1,1,5,1,-,-,-,6,10,7,5,111,52,69,114,107,112,107,109,No,96,07/09/2026,8 832,9 999,N
SP,Milt Pappas,Right,Right,33,25,3,42,10,18,40,5,27,20,88,62,110,154,100,88,155,171,79,-,-,-,25,36,29,27,8,10,7,71,10,6,4,16,No,96,08/19/2026,83 243,24 444,N
C,Buster Posey,Right,Right,129,60,86,111,128,101,91,38,78,130,1,1,1,1,1,1,1,1,1,105,94,99,62,66,61,56,5,2,5,110,27,77,16,43,No,96,03/13/2026,6 436,4 002,N
SP,Sam Streeter,Right,Left,63,52,3,46,37,63,51,3,44,36,100,104,97,100,97,101,92,89,74,53,53,53,29,26,27,25,1,6,11,64,47,6,4,28,No,96,03/13/2026,5 588,4 001,N
2B,JJ Wetherholt,Left,Right,112,98,67,99,112,130,115,73,113,133,1,1,67,1,1,1,86,1,1,1,1,1,76,81,71,83,62,72,55,90,82,103,66,86,No,96,03/27/2026,6 881,0,N
2B,JJ Wetherholt,Left,Right,121,106,73,107,121,140,124,80,122,143,1,1,73,1,1,1,93,1,1,1,1,1,76,81,71,83,62,72,55,96,82,103,66,86,No,96,03/27/2026,41 990,0,Y
2B,Marvin Williams,Right,Right,91,103,101,48,91,91,103,101,37,89,1,1,20,7,1,1,21,7,1,-,-,-,88,65,47,93,55,62,68,97,62,70,49,57,No,96,03/13/2026,5 224,4 001,N
SP,Roger Wolff,Right,Right,4,11,1,82,14,8,23,1,61,29,69,98,62,74,86,115,145,129,99,-,-,-,30,44,32,21,2,5,9,80,16,6,4,28,No,96,03/13/2026,5 197,0,N
1B,Joe Adcock,Right,Right,133,127,114,118,82,81,68,130,55,50,1,1,1,1,1,1,1,1,1,-,-,-,54,89,56,72,64,64,64,99,40,33,20,44,No,95,03/13/2026,5 510,0,N
