build,series,format,card_id,name,is_pitcher,pa,ip,instances
Diamond,diamondsforever,current,86646,Larry Jackson,True,0,4.67,1
Diamond,diamondsforever,current,86654,Milt Pappas,True,0,13,1
Diamond,diamondsforever,current,86637,Ed Bailey,False,76,0,2
Diamond,diamondsforever,current,86476,Johnny Bassler,False,104,0,3
Diamond,diamondsforever,current,86286,Mike Schmidt,False,563,0,22
Diamond,diamondsforever,current,86656,Phil Rizzuto,False,56,0,2
Diamond,diamondsforever,current,86634,Willie Mays,False,12,0,1
Diamond,diamondsforever,current,86273,Darryl Strawberry,False,197,0,9
Diamond,diamondslotsdaily,current,85109,Steve Carlton,True,0,3614.67,247
Diamond,diamondslotsdaily,current,84079,Pete Donohue,True,0,3620.67,229
Diamond,diamondslotsdaily,current,84086,Bob Friend,True,23,7888.67,603
Diamond,diamondslotsdaily,current,83323,Joe Grzenda,True,24,996.33,217
Diamond,diamondslotsdaily,current,85305,Rocky Colavito,False,1492,0,53
Diamond,diamondslotsdaily,current,84075,Joe Sambito,True,0,379.33,65
Diamond,diamondslotsdaily,current,85496,Albie Pearson,False,72,0,3
Diamond,diamondslotsdaily,current,86070,Sam Jones,True,0,1060,82
Diamond,diamondslotsdaily,current,83279,Dan Quisenberry,True,0,83,18
Diamond,diamondslotsdaily,current,86286,Mike Schmidt,False,4526,0,133
Diamond,diamondslotsdaily,current,86273,Darryl Strawberry,False,1049,0,37
Diamond,diamondslotsdaily,current,86476,Johnny Bassler,False,565,0,22
Diamond,diamondslotsdaily,current,84011,Jimmie Foxx,False,476,0,16
Diamond,diamondslotsdaily,current,86654,Milt Pappas,True,0,194.67,14
Diamond,diamondslotsdaily,current,86637,Ed Bailey,False,235,0,6
Diamond,diamondslotsdaily,current,86656,Phil Rizzuto,False,712,0,18
Diamond,diamondslotsdaily,current,86635,Mickey Mantle,False,232,0,5
Diamond,diamondslotsdaily,current,86634,Willie Mays,False,993,0,18
Diamond,diamondslotsdaily,current,86646,Larry Jackson,True,0,105.67,2
Diamond,diamondslotsdaily,current,86668,Hank Thompson,False,24,0,2
Diamond,diamondslotsdaily,current,86618,Eddie Yost,False,79,0,1
Diamond,diamondslotsdaily,current,86721,Lonnie Smith,False,34,0,1
Diamond,diamondheart,current,85109,Steve Carlton,True,7284,19375.67,1159
Diamond,diamondheart,current,84086,Bob Friend,True,16559,43557.33,2190
Diamond,diamondheart,current,83323,Joe Grzenda,True,905,7870,1953
Diamond,diamondheart,current,84075,Joe Sambito,True,67,1090.33,194
Diamond,diamondheart,current,83279,Dan Quisenberry,True,8,53,15
Diamond,diamondheart,current,85305,Rocky Colavito,False,33369,0,815
Diamond,diamondheart,current,85496,Albie Pearson,False,3215,0,127
Diamond,diamondheart,current,86286,Mike Schmidt,False,2020,0,54
Diamond,diamondheart,current,86273,Darryl Strawberry,False,2025,0,44
Diamond,diamondheart,current,86646,Larry Jackson,True,52,136.33,5
Diamond,diamondheart,current,86604,Tommy John,True,7,23.67,2
Diamond,diamondheart,current,86654,Milt Pappas,True,90,229.67,9
Diamond,diamondheart,current,86637,Ed Bailey,False,315,0,7
Diamond,diamondheart,current,84011,Jimmie Foxx,False,20,0,3
Diamond,diamondheart,current,86429,Rudy York,False,56,0,1
Diamond,diamondheart,current,86668,Hank Thompson,False,95,0,2
Diamond,diamondheart,current,86618,Eddie Yost,False,143,0,4
Diamond,diamondheart,current,86656,Phil Rizzuto,False,725,0,13
Diamond,diamondheart,current,86721,Lonnie Smith,False,97,0,2
Diamond,diamondheart,current,86635,Mickey Mantle,False,193,0,3
Diamond,diamondheart,current,86634,Willie Mays,False,304,0,7
Diamond,diamondheart,current,85946,Ron Hunt,False,4,0,1
Diamond,latesilver,current,85946,Ron Hunt,False,732,0,52
Cap,silverslotsdaily,current,85449,Ken Berry,False,776,0,69
Cap,silverslotsdaily,current,85829,Joe Krakauskas,True,1,123,35
Cap,silverslotsdaily,current,84720,Mike Marshall,True,3,580.67,145
Cap,silverslotsdaily,current,86357,Fritz Ostermueller,True,37,505.67,62
Cap,silverslotsdaily,current,86379,Billy Southworth,False,706,0,35
Cap,silverslotsdaily,current,83454,Ron Hansen,False,8,0,2
Cap,silverslotsdaily,current,85286,Jakie May,True,12,359.33,29
Cap,silverslotsdaily,current,85314,Don Baylor,False,70,0,2
Cap,silverslotsdaily,current,85150,Joe Morgan,False,2,0,1
Cap,silverslotsdaily,current,83148,Hal Woodeshick,True,2,52,7
Cap,silverslotsdaily,current,85835,Cal Ripken Jr.,False,15,0,3
Cap,silverslotsdaily,current,85944,Clyde Vollmer,False,3,0,1
Cap,silverslotsdaily,current,85326,Eddie Robinson,False,17,0,1
Cap,silverslotsdaily,current,86477,Grover Cleveland Alexander,True,24,145.67,12
Cap,silverslotsdaily,current,86610,Bob Allison,False,32,0,1
Cap,silverslotsdaily,current,86616,Ed Bailey,False,124,0,5
Cap,silverslotsdaily,current,86650,Ted Williams,False,6,0,1
Cap,silverslotsdaily,current,84840,Jackie Robinson,False,15,0,1
Cap,silverslotsdaily,current,86659,Nelson Chittum,True,1,2,1
Cap,silverheart,historical,83236,Dave Tomlin,True,1,82.67,28
Cap,silverheart,historical,85150,Joe Morgan,False,430,0,12
Cap,silverheart,historical,84840,Jackie Robinson,False,787,0,18
Cap,silverheart,historical,85449,Ken Berry,False,117,0,10
Cap,silverheart,historical,84720,Mike Marshall,True,6,49.67,9
Cap,silverheart,historical,85314,Don Baylor,False,221,0,7
Cap,silverheart,historical,83454,Ron Hansen,False,206,0,6
Cap,silverheart,historical,83148,Hal Woodeshick,True,37,85.33,6
Cap,silverheart,historical,85829,Joe Krakauskas,True,5,31,7
Cap,silverheart,historical,85326,Eddie Robinson,False,19,0,1
Cap,silverheart,historical,86357,Fritz Ostermueller,True,263,708.67,32
Cap,silverheart,historical,86616,Ed Bailey,False,19,0,1
Cap,earlygold,historical,85449,Ken Berry,False,213,0,15
Cap,earlygold,historical,84720,Mike Marshall,True,0,1.67,1
Cap,earlygold,historical,83236,Dave Tomlin,True,1,3.33,2
Cap,earlygold,historical,83148,Hal Woodeshick,True,2,5,1
Cap,earlygold,historical,85150,Joe Morgan,False,29,0,5
Cap,earlygold,historical,85286,Jakie May,True,3,11.67,2
Cap,earlygold,historical,86477,Grover Cleveland Alexander,True,148,353.33,28
Cap,earlygold,historical,86379,Billy Southworth,False,44,0,2
Cap,earlygold,historical,86357,Fritz Ostermueller,True,1,2.33,1
Cap,sandlot,current,86477,Grover Cleveland Alexander,True,0,29,5
Cap,sandlot,current,85286,Jakie May,True,0,144.33,11
Cap,sandlot,current,86357,Fritz Ostermueller,True,0,675.33,55
Cap,sandlot,current,83148,Hal Woodeshick,True,0,21.67,4
Cap,sandlot,current,86659,Nelson Chittum,True,0,20,5
Cap,sandlot,current,83236,Dave Tomlin,True,0,4.67,2
Cap,sandlot,current,86616,Ed Bailey,False,77,0,4
Cap,sandlot,current,85326,Eddie Robinson,False,39,0,1
Cap,sandlot,current,85150,Joe Morgan,False,34,0,2
Cap,sandlot,current,84840,Jackie Robinson,False,84,0,2
Cap,sandlot,current,86379,Billy Southworth,False,398,0,14
